Strategy,Test_Device,Model,Balanced_Accuracy,Macro_Recall,Macro_Precision,Macro_F1
All_MACs,I,TLoc,0.7975665737434684,0.7975665737434684,0.8380726917584839,0.7736459815924566
All_MACs,I,XGBoost,0.7206042782888953,0.7206042782888953,0.7719292864460084,0.706322314627371
All_MACs,I,WKNN_Pos_Euclid,0.7283734363773438,0.7283734363773438,0.7851588397659028,0.7078073371447224
All_MACs,I,WKNN_Pow_Euclid,0.6741190413132915,0.6741190413132915,0.6725726829965109,0.6414870150178039
All_MACs,I,WKNN_Pos_Sorensen,0.7677446955372148,0.7677446955372148,0.8976943674577736,0.7643633378286515
All_MACs,I,WKNN_Pow_Sorensen,0.7859188589322486,0.7859188589322486,0.8003379768177578,0.7664696045224827
All_MACs,V2,TLoc,0.9369318181818183,0.9369318181818183,0.9384765572134278,0.9304669449988563
All_MACs,V2,XGBoost,0.9234217171717173,0.9234217171717173,0.9396421793234758,0.9261570040908409
All_MACs,V2,WKNN_Pos_Euclid,0.8173611111111111,0.8173611111111111,0.9024624456753245,0.7977787154479401
All_MACs,V2,WKNN_Pow_Euclid,0.8163510101010103,0.8163510101010103,0.7910499786877133,0.7730556853855766
All_MACs,V2,WKNN_Pos_Sorensen,0.9428661616161619,0.9428661616161619,0.9376856395194555,0.9376686700884265
All_MACs,V2,WKNN_Pow_Sorensen,0.9433712121212122,0.9433712121212122,0.9426595378080079,0.9351473747174814
Filtered_MACs,I,TLoc,0.7844332095671575,0.7844332095671575,0.7769344717062584,0.7555807471324516
Filtered_MACs,I,XGBoost,0.7086220167791463,0.7086220167791463,0.7620318054019971,0.6902372545025504
Filtered_MACs,I,WKNN_Pos_Euclid,0.7203116232673886,0.7203116232673886,0.7899112704677921,0.7048117393495928
Filtered_MACs,I,WKNN_Pow_Euclid,0.6429473102951416,0.6429473102951416,0.6731576780224505,0.6158323999597595
Filtered_MACs,I,WKNN_Pos_Sorensen,0.7680569355707442,0.7680569355707442,0.8992966882088743,0.7675874229788782
Filtered_MACs,I,WKNN_Pow_Sorensen,0.7659930520640444,0.7659930520640444,0.8919357606314547,0.7565352743616117
Filtered_MACs,V2,TLoc,0.9378787878787879,0.9378787878787879,0.9396838260012672,0.9312418684722555
Filtered_MACs,V2,XGBoost,0.8722853535353536,0.8722853535353536,0.9166842767805492,0.8653139693584359
Filtered_MACs,V2,WKNN_Pos_Euclid,0.8272095959595961,0.8272095959595961,0.8593055570503387,0.8087943585943154
Filtered_MACs,V2,WKNN_Pow_Euclid,0.8559974747474747,0.8559974747474747,0.8977653504476634,0.8276535864081197
Filtered_MACs,V2,WKNN_Pos_Sorensen,0.9152777777777779,0.9152777777777779,0.9254781249672855,0.9101645594557358
Filtered_MACs,V2,WKNN_Pow_Sorensen,0.9162878787878789,0.9162878787878789,0.9414805353025618,0.9046302319126397
