,ap_mac,ap_name
0,70:f3:5a:96:66:e4:,Guest-CentraleSupelec
1,94:d4:69:f7:90:86:,fabrique2024
2,94:d4:69:f7:90:88:,stop&go
3,94:d4:69:f9:5b:e0:,eduroam
4,94:d4:69:f9:5b:e8:,stop&go
5,94:d4:69:f9:7d:63:,CD91
6,94:d4:69:f9:7d:64:,Guest-CentraleSupelec
7,94:d4:69:f9:7d:66:,fabrique2024
8,94:d4:69:f9:7d:67:,stop&go
9,94:d4:69:f9:7d:68:,stop&go
10,94:d4:69:f9:7d:69:,fabrique2024
11,94:d4:69:f9:7d:6b:,Guest-CentraleSupelec
12,94:d4:69:f9:7d:6c:,CD91
13,94:d4:69:f9:7d:6f:,eduroam
14,94:d4:69:fa:94:40:,eduroam
15,94:d4:69:fa:94:46:,fabrique2024
16,94:d4:69:fa:94:47:,stop&go
17,94:d4:69:fa:94:49:,fabrique2024
18,94:d4:69:fa:94:4b:,Guest-CentraleSupelec
19,94:d4:69:fa:94:4c:,CD91
20,94:d4:69:fa:94:4f:,eduroam
21,94:d4:69:fa:9a:00:,eduroam
22,94:d4:69:fa:9a:03:,CD91
23,94:d4:69:fa:9a:04:,Guest-CentraleSupelec
24,94:d4:69:fa:9a:06:,fabrique2024
25,94:d4:69:fa:9a:07:,stop&go
26,94:d4:69:fa:9a:08:,stop&go
27,94:d4:69:fa:9a:09:,fabrique2024
28,94:d4:69:fa:9a:0b:,Guest-CentraleSupelec
29,94:d4:69:fa:9a:0c:,CD91
30,94:d4:69:fa:9a:0f:,eduroam
31,94:d4:69:fd:b1:07:,stop&go
32,94:d4:69:fd:b1:09:,fabrique2024
33,94:d4:69:fd:b1:0b:,Guest-CentraleSupelec
34,94:d4:69:fd:b1:0c:,CD91
35,94:d4:69:fd:b1:0f:,eduroam
36,94:d4:69:fd:b1:e0:,eduroam
37,94:d4:69:fd:b1:e3:,CD91
38,94:d4:69:fd:b1:e4:,Guest-CentraleSupelec
39,94:d4:69:fd:b1:e6:,fabrique2024
40,94:d4:69:fd:b1:e7:,stop&go
41,94:d4:69:fd:b1:e8:,stop&go
42,94:d4:69:fd:b1:e9:,fabrique2024
43,94:d4:69:fd:b1:eb:,Guest-CentraleSupelec
44,94:d4:69:fd:b1:ec:,CD91
45,94:d4:69:fd:b1:ef:,eduroam
46,94:d4:69:fd:b2:20:,eduroam
47,94:d4:69:fd:b2:23:,CD91
48,94:d4:69:fd:b2:24:,Guest-CentraleSupelec
49,94:d4:69:fd:b2:26:,fabrique2024
50,94:d4:69:fd:b2:27:,stop&go
51,94:d4:69:fd:b2:28:,stop&go
52,94:d4:69:fd:b2:29:,fabrique2024
53,94:d4:69:fd:b2:2c:,CD91
54,94:d4:69:fd:b2:2f:,eduroam
55,a4:88:73:4e:40:c0:,eduroam
183,94:d4:69:fa:94:44:,Guest-CentraleSupelec
186,94:d4:69:fa:94:48:,stop&go
339,94:d4:69:f9:7d:60:,eduroam
349,94:d4:69:fa:94:43:,CD91
390,94:d4:69:fd:b2:2b:,Guest-CentraleSupelec
649,94:d4:69:fd:b1:08:,stop&go
1013,70:d3:79:2e:e8:40:,eduroam
1455,70:d3:79:2e:e8:44:,Guest-CentraleSupelec
2366,70:d3:79:2e:e8:48:,stop&go
2396,94:d4:69:fd:b1:00:,eduroam
2397,94:d4:69:fd:b1:04:,Guest-CentraleSupelec
2536,70:d3:79:2e:e8:43:,CD91
2537,70:d3:79:2e:e8:46:,fabrique2024
2539,94:d4:69:f6:c5:60:,eduroam
2540,94:d4:69:f6:c5:63:,CD91
2541,94:d4:69:f6:c5:64:,Guest-CentraleSupelec
2542,94:d4:69:f6:c5:66:,fabrique2024
2543,94:d4:69:f6:c5:68:,stop&go
2544,94:d4:69:f6:e4:e0:,eduroam
2554,94:d4:69:f9:7d:c7:,stop&go
2555,94:d4:69:f9:7d:c9:,fabrique2024
2556,94:d4:69:f9:7d:cc:,CD91
2578,94:d4:69:fd:b1:03:,CD91
2580,94:d4:69:fd:b1:06:,fabrique2024
5565,84:3d:c6:f5:f1:87:,stop&go
5566,84:3d:c6:f5:f1:89:,fabrique2024
5567,84:3d:c6:f5:f1:8b:,Guest-CentraleSupelec
5568,84:3d:c6:f5:f1:8c:,CD91
5569,84:3d:c6:f5:f1:8f:,eduroam
10808,a4:88:73:4e:40:c4:,Guest-CentraleSupelec
11205,70:d3:79:2e:8c:80:,eduroam
12117,70:f3:5a:96:66:e8:,stop&go
12247,70:f3:5a:96:66:e3:,CD91
12311,a4:88:73:4e:40:c6:,CD91
13324,70:f3:5a:96:66:e6:,fabrique2024
16234,70:f3:5a:96:66:e0:,eduroam
19030,94:d4:69:f9:7d:43:,CD91
24729,94:d4:69:f9:7d:c6:,fabrique2024
24894,94:d4:69:f9:7d:c0:,eduroam
24895,94:d4:69:f9:7d:c3:,CD91
24896,94:d4:69:f9:7d:c4:,Guest-CentraleSupelec
25309,70:d3:79:2e:e8:47:,stop&go
25310,70:d3:79:2e:e8:4c:,CD91
25311,70:d3:79:2e:e8:4f:,eduroam
25938,70:d3:79:2e:e8:4b:,Guest-CentraleSupelec
31162,70:d3:79:2e:8c:83:,CD91
31991,70:d3:79:2e:8c:88:,stop&go
32671,70:d3:79:2e:8c:84:,Guest-CentraleSupelec
32972,70:d3:79:2e:8c:86:,fabrique2024
33392,94:d4:69:f6:e4:e7:,stop&go
34231,94:d4:69:f9:7d:c8:,stop&go
37582,a4:88:73:4e:40:c7:,fabrique2024
40061,94:d4:69:f9:5b:e6:,fabrique2024
43373,94:d4:69:f7:90:84:,Guest-CentraleSupelec
43374,94:d4:69:f7:98:e0:,eduroam
43375,94:d4:69:f7:98:e3:,CD91
43661,94:d4:69:f7:90:83:,CD91
44945,94:d4:69:f6:e4:e3:,CD91
44946,94:d4:69:f6:e4:e4:,Guest-CentraleSupelec
44947,94:d4:69:f6:e4:e6:,fabrique2024
44948,94:d4:69:f6:e4:e8:,stop&go
45226,70:d3:79:2e:e8:49:,fabrique2024
