,ap_mac,ap_name,rssi,timestamp,room,door_status,room_part
0,00:18:E7:FF:8C:98,dlink,12,1211.871910572052,B2-01,1,5
1,34:60:F9:A3:D9:13,GASWIFI-5G_C2,22,1211.871910572052,B2-01,1,5
2,34:60:F9:A3:D9:14,GASWIFI-2G_C2,32,1211.871910572052,B2-01,1,5
3,34:60:F9:A3:E7:3F,GASWIFI_C4,24,1211.871910572052,B2-01,1,5
4,34:CE:00:51:3E:6F,Lab,35,1211.871910572052,B2-01,1,5
5,34:CE:00:51:3E:70,Lab_5G,9,1211.871910572052,B2-01,1,5
6,3A:60:F9:A3:D9:14,,29,1211.871910572052,B2-01,1,5
7,54:B8:0A:AA:2C:8C,LAB_DIGITAL,44,1211.871910572052,B2-01,1,5
8,54:B8:0A:AA:2C:8D,PCS-Wireless,45,1211.871910572052,B2-01,1,5
9,54:B8:0A:AA:2C:8E,LAB_DIGITAL-5GHz,17,1211.871910572052,B2-01,1,5
10,54:B8:0A:AA:2C:8F,PCS-Wireless-5GHz,17,1211.871910572052,B2-01,1,5
11,54:F0:B1:A1:18:C0,eduroam,47,1211.871910572052,B2-01,1,5
12,54:F0:B1:A1:18:C1,PoliSemFio,47,1211.871910572052,B2-01,1,5
13,54:F0:B1:A1:18:C3,MEZANINO,47,1211.871910572052,B2-01,1,5
14,54:F0:B1:A1:18:C4,GDLAB,47,1211.871910572052,B2-01,1,5
15,54:F0:B1:A1:18:C5,LABPAD,47,1211.871910572052,B2-01,1,5
16,54:F0:B1:A1:18:D0,eduroam,54,1211.871910572052,B2-01,1,5
17,54:F0:B1:A1:18:D1,PoliSemFio,49,1211.871910572052,B2-01,1,5
18,54:F0:B1:A1:18:D2,,49,1211.871910572052,B2-01,1,5
19,54:F0:B1:A1:18:D3,MEZANINO,54,1211.871910572052,B2-01,1,5
20,54:F0:B1:A1:18:D4,GDLAB,30,1211.871910572052,B2-01,1,5
21,54:F0:B1:A1:18:D5,LABPAD,57,1211.871910572052,B2-01,1,5
22,54:F0:B1:A1:57:F0,eduroam,20,1211.871910572052,B2-01,1,5
23,54:F0:B1:A1:57:F1,PoliSemFio,20,1211.871910572052,B2-01,1,5
24,54:F0:B1:A1:57:F2,,22,1211.871910572052,B2-01,1,5
25,54:F0:B1:A1:58:00,eduroam,29,1211.871910572052,B2-01,1,5
26,54:F0:B1:A1:58:01,PoliSemFio,25,1211.871910572052,B2-01,1,5
27,54:F0:B1:A1:58:02,,37,1211.871910572052,B2-01,1,5
28,54:F0:B1:A1:E4:F0,eduroam,24,1211.871910572052,B2-01,1,5
29,54:F0:B1:A1:E4:F1,PoliSemFio,24,1211.871910572052,B2-01,1,5
30,54:F0:B1:A1:E4:F2,,24,1211.871910572052,B2-01,1,5
31,54:F0:B1:A1:E5:00,eduroam,30,1211.871910572052,B2-01,1,5
32,54:F0:B1:A1:E5:02,,35,1211.871910572052,B2-01,1,5
33,54:F0:B1:A2:57:20,eduroam,22,1211.871910572052,B2-01,1,5
34,54:F0:B1:A2:57:21,PoliSemFio,22,1211.871910572052,B2-01,1,5
35,54:F0:B1:A2:57:22,,22,1211.871910572052,B2-01,1,5
36,54:F0:B1:A2:57:23,LCA,22,1211.871910572052,B2-01,1,5
37,54:F0:B1:A2:57:33,LCA,35,1211.871910572052,B2-01,1,5
38,54:F0:B1:BB:58:C3,CAEEL,9,1211.871910572052,B2-01,1,5
39,54:F0:B1:BB:5A:80,eduroam,17,1211.871910572052,B2-01,1,5
40,54:F0:B1:BB:5A:82,HACKER,25,1211.871910572052,B2-01,1,5
41,54:F0:B1:BB:5A:83,LEP,17,1211.871910572052,B2-01,1,5
42,54:F0:B1:BB:80:C1,PoliSemFio,22,1211.871910572052,B2-01,1,5
43,54:F0:B1:BB:80:C2,,22,1211.871910572052,B2-01,1,5
44,54:F0:B1:BB:84:B0,eduroam,24,1211.871910572052,B2-01,1,5
45,54:F0:B1:BB:84:B1,PoliSemFio,24,1211.871910572052,B2-01,1,5
46,54:F0:B1:BB:84:B2,,25,1211.871910572052,B2-01,1,5
47,54:F0:B1:BB:84:D0,eduroam,20,1211.871910572052,B2-01,1,5
48,54:F0:B1:BB:84:D1,PoliSemFio,20,1211.871910572052,B2-01,1,5
49,54:F0:B1:BB:84:D2,,20,1211.871910572052,B2-01,1,5
50,54:F0:B1:BB:92:E0,eduroam,17,1211.871910572052,B2-01,1,5
51,54:F0:B1:BB:92:E1,PoliSemFio,15,1211.871910572052,B2-01,1,5
52,54:F0:B1:BB:92:E2,,17,1211.871910572052,B2-01,1,5
53,54:F0:B1:BB:BE:13,CAEEL,14,1211.871910572052,B2-01,1,5
54,54:F0:B1:BB:C4:D0,eduroam,37,1211.871910572052,B2-01,1,5
55,54:F0:B1:BB:C4:D1,PoliSemFio,35,1211.871910572052,B2-01,1,5
56,54:F0:B1:BB:C4:D2,,54,1211.871910572052,B2-01,1,5
57,54:F0:B1:BB:C4:F0,eduroam,25,1211.871910572052,B2-01,1,5
58,54:F0:B1:BB:C4:F1,PoliSemFio,25,1211.871910572052,B2-01,1,5
59,54:F0:B1:BB:C5:C0,eduroam,22,1211.871910572052,B2-01,1,5
60,54:F0:B1:BB:CC:E0,B209,17,1211.871910572052,B2-01,1,5
61,54:F0:B1:BB:F3:20,eduroam,30,1211.871910572052,B2-01,1,5
62,54:F0:B1:BB:F3:21,PoliSemFio,30,1211.871910572052,B2-01,1,5
63,54:F0:B1:BB:F3:22,,30,1211.871910572052,B2-01,1,5
64,54:F0:B1:BB:FD:D0,eduroam,19,1211.871910572052,B2-01,1,5
65,54:F0:B1:BB:FD:D1,PoliSemFio,17,1211.871910572052,B2-01,1,5
66,54:F0:B1:BB:FD:D2,,22,1211.871910572052,B2-01,1,5
67,54:F0:B1:BC:09:40,eduroam,100,1211.871910572052,B2-01,1,5
68,54:F0:B1:BC:09:41,PoliSemFio,95,1211.871910572052,B2-01,1,5
69,54:F0:B1:BC:09:42,,95,1211.871910572052,B2-01,1,5
70,54:F0:B1:BC:09:60,eduroam,50,1211.871910572052,B2-01,1,5
71,54:F0:B1:BC:09:61,PoliSemFio,50,1211.871910572052,B2-01,1,5
72,54:F0:B1:BC:1B:D1,PoliSemFio,39,1211.871910572052,B2-01,1,5
73,54:F0:B1:BC:1B:D2,,59,1211.871910572052,B2-01,1,5
74,54:F0:B1:BC:1B:F0,eduroam,19,1211.871910572052,B2-01,1,5
75,54:F0:B1:BC:1B:F1,PoliSemFio,12,1211.871910572052,B2-01,1,5
76,54:F0:B1:BC:2E:90,eduroam,57,1211.871910572052,B2-01,1,5
77,54:F0:B1:BC:2E:91,PoliSemFio,55,1211.871910572052,B2-01,1,5
78,54:F0:B1:BC:2E:92,,54,1211.871910572052,B2-01,1,5
79,54:F0:B1:BC:2E:B0,eduroam,14,1211.871910572052,B2-01,1,5
80,54:F0:B1:BC:2E:B1,PoliSemFio,12,1211.871910572052,B2-01,1,5
81,54:F0:B1:BC:36:11,eduroam,15,1211.871910572052,B2-01,1,5
82,54:F0:B1:BC:3F:10,eduroam,20,1211.871910572052,B2-01,1,5
83,54:F0:B1:BC:6F:72,,24,1211.871910572052,B2-01,1,5
84,54:F0:B1:BC:70:00,eduroam,42,1211.871910572052,B2-01,1,5
85,54:F0:B1:BC:70:01,PoliSemFio,44,1211.871910572052,B2-01,1,5
86,54:F0:B1:BC:70:02,,27,1211.871910572052,B2-01,1,5
87,54:F0:B1:BC:70:20,eduroam,19,1211.871910572052,B2-01,1,5
88,54:F0:B1:BC:70:21,PoliSemFio,17,1211.871910572052,B2-01,1,5
89,54:F0:B1:BC:70:22,,17,1211.871910572052,B2-01,1,5
90,54:F0:B1:BC:77:80,eduroam,45,1211.871910572052,B2-01,1,5
91,54:F0:B1:BC:77:81,PoliSemFio,40,1211.871910572052,B2-01,1,5
92,54:F0:B1:BC:77:82,,29,1211.871910572052,B2-01,1,5
93,54:F0:B1:BC:77:A0,eduroam,45,1211.871910572052,B2-01,1,5
94,54:F0:B1:BC:77:A1,PoliSemFio,45,1211.871910572052,B2-01,1,5
95,54:F0:B1:BC:77:A2,,45,1211.871910572052,B2-01,1,5
96,54:F0:B1:BC:7C:B0,eduroam,20,1211.871910572052,B2-01,1,5
97,54:F0:B1:BC:7C:B1,PoliSemFio,19,1211.871910572052,B2-01,1,5
98,56:60:F9:A3:E7:3F,,27,1211.871910572052,B2-01,1,5
99,68:FF:7B:47:78:BD,C1-22M-5G,30,1211.871910572052,B2-01,1,5
100,68:FF:7B:47:78:BE,C1-22M,20,1211.871910572052,B2-01,1,5
101,70:62:B8:6E:72:A0,PCS-wireless-C1-13,57,1211.871910572052,B2-01,1,5
102,70:62:B8:6E:72:A1,PPGEE,60,1211.871910572052,B2-01,1,5
103,84:D4:7E:06:4F:E0,eduroam,75,1211.871910572052,B2-01,1,5
104,84:D4:7E:06:4F:E1,PoliSemFio,65,1211.871910572052,B2-01,1,5
105,84:D4:7E:06:4F:E2,,42,1211.871910572052,B2-01,1,5
106,84:D4:7E:06:4F:F0,eduroam,37,1211.871910572052,B2-01,1,5
107,84:D4:7E:06:4F:F1,PoliSemFio,37,1211.871910572052,B2-01,1,5
108,B0:48:7A:C4:2F:B4,LTG_Teste,19,1211.871910572052,B2-01,1,5
109,DC:9F:DB:1C:1F:E0,LWN-3,34,1211.871910572052,B2-01,1,5
110,DE:9F:DB:1C:1F:E0,LARC Guest,35,1211.871910572052,B2-01,1,5
111,EE:9F:DB:1C:1F:E0,,24,1211.871910572052,B2-01,1,5
112,F8:1A:67:99:55:8E,NUCLEAR_CHF,37,1211.871910572052,B2-01,1,5
113,FA:8F:CA:81:87:C7,"Escritório.o,",5,1211.871910572052,B2-01,1,5
114,FE:9F:DB:1C:1F:E0,,25,1211.871910572052,B2-01,1,5
115,00:18:E7:FF:8C:98,dlink,12,1218.1776235103607,B2-01,1,5
116,34:60:F9:A3:D9:13,GASWIFI-5G_C2,22,1218.1776235103607,B2-01,1,5
117,34:60:F9:A3:D9:14,GASWIFI-2G_C2,32,1218.1776235103607,B2-01,1,5
118,34:60:F9:A3:E7:3F,GASWIFI_C4,24,1218.1776235103607,B2-01,1,5
119,34:CE:00:51:3E:6F,Lab,35,1218.1776235103607,B2-01,1,5
120,34:CE:00:51:3E:70,Lab_5G,9,1218.1776235103607,B2-01,1,5
121,3A:60:F9:A3:D9:14,,29,1218.1776235103607,B2-01,1,5
122,54:B8:0A:AA:2C:8C,LAB_DIGITAL,44,1218.1776235103607,B2-01,1,5
123,54:B8:0A:AA:2C:8D,PCS-Wireless,45,1218.1776235103607,B2-01,1,5
124,54:B8:0A:AA:2C:8E,LAB_DIGITAL-5GHz,17,1218.1776235103607,B2-01,1,5
125,54:B8:0A:AA:2C:8F,PCS-Wireless-5GHz,17,1218.1776235103607,B2-01,1,5
126,54:F0:B1:A1:18:C0,eduroam,47,1218.1776235103607,B2-01,1,5
127,54:F0:B1:A1:18:C1,PoliSemFio,47,1218.1776235103607,B2-01,1,5
128,54:F0:B1:A1:18:C3,MEZANINO,47,1218.1776235103607,B2-01,1,5
129,54:F0:B1:A1:18:C4,GDLAB,47,1218.1776235103607,B2-01,1,5
130,54:F0:B1:A1:18:C5,LABPAD,47,1218.1776235103607,B2-01,1,5
131,54:F0:B1:A1:18:D0,eduroam,54,1218.1776235103607,B2-01,1,5
132,54:F0:B1:A1:18:D1,PoliSemFio,49,1218.1776235103607,B2-01,1,5
133,54:F0:B1:A1:18:D2,,49,1218.1776235103607,B2-01,1,5
134,54:F0:B1:A1:18:D3,MEZANINO,54,1218.1776235103607,B2-01,1,5
135,54:F0:B1:A1:18:D4,GDLAB,30,1218.1776235103607,B2-01,1,5
136,54:F0:B1:A1:18:D5,LABPAD,57,1218.1776235103607,B2-01,1,5
137,54:F0:B1:A1:57:F0,eduroam,20,1218.1776235103607,B2-01,1,5
138,54:F0:B1:A1:57:F1,PoliSemFio,20,1218.1776235103607,B2-01,1,5
139,54:F0:B1:A1:57:F2,,22,1218.1776235103607,B2-01,1,5
140,54:F0:B1:A1:58:00,eduroam,29,1218.1776235103607,B2-01,1,5
141,54:F0:B1:A1:58:01,PoliSemFio,25,1218.1776235103607,B2-01,1,5
142,54:F0:B1:A1:58:02,,37,1218.1776235103607,B2-01,1,5
143,54:F0:B1:A1:E4:F0,eduroam,24,1218.1776235103607,B2-01,1,5
144,54:F0:B1:A1:E4:F1,PoliSemFio,24,1218.1776235103607,B2-01,1,5
145,54:F0:B1:A1:E4:F2,,24,1218.1776235103607,B2-01,1,5
146,54:F0:B1:A1:E5:00,eduroam,30,1218.1776235103607,B2-01,1,5
147,54:F0:B1:A1:E5:02,,35,1218.1776235103607,B2-01,1,5
148,54:F0:B1:A2:57:20,eduroam,22,1218.1776235103607,B2-01,1,5
149,54:F0:B1:A2:57:21,PoliSemFio,22,1218.1776235103607,B2-01,1,5
150,54:F0:B1:A2:57:22,,22,1218.1776235103607,B2-01,1,5
151,54:F0:B1:A2:57:23,LCA,22,1218.1776235103607,B2-01,1,5
152,54:F0:B1:A2:57:33,LCA,35,1218.1776235103607,B2-01,1,5
153,54:F0:B1:BB:58:C3,CAEEL,9,1218.1776235103607,B2-01,1,5
154,54:F0:B1:BB:5A:80,eduroam,17,1218.1776235103607,B2-01,1,5
155,54:F0:B1:BB:5A:82,HACKER,25,1218.1776235103607,B2-01,1,5
156,54:F0:B1:BB:5A:83,LEP,17,1218.1776235103607,B2-01,1,5
157,54:F0:B1:BB:80:C1,PoliSemFio,22,1218.1776235103607,B2-01,1,5
158,54:F0:B1:BB:80:C2,,22,1218.1776235103607,B2-01,1,5
159,54:F0:B1:BB:84:B0,eduroam,24,1218.1776235103607,B2-01,1,5
160,54:F0:B1:BB:84:B1,PoliSemFio,24,1218.1776235103607,B2-01,1,5
