,ap_mac,ap_name,rssi,timestamp,room,door_status,room_part
0,02:E0:DB:48:81:EE,DIRECT-Te-Polycom Pano,22,5.170853614807129,C1,0,1
1,1C:5F:2B:FF:9B:B4,LSA,29,5.170853614807129,C1,0,1
2,20:AA:4B:A7:19:74,LAA03,40,5.170853614807129,C1,0,1
3,34:60:F9:A3:D9:13,GASWIFI-5G_C2,37,5.170853614807129,C1,0,1
4,34:60:F9:A3:D9:14,GASWIFI-2G_C2,32,5.170853614807129,C1,0,1
5,34:CE:00:51:3E:6F,Lab,32,5.170853614807129,C1,0,1
6,3A:60:F9:A3:D9:13,,37,5.170853614807129,C1,0,1
7,3A:60:F9:A3:D9:14,,32,5.170853614807129,C1,0,1
8,54:B8:0A:AA:2C:8C,LAB_DIGITAL,25,5.170853614807129,C1,0,1
9,54:B8:0A:AA:2C:8D,PCS-Wireless,27,5.170853614807129,C1,0,1
10,54:F0:B1:A1:18:D4,GDLAB,15,5.170853614807129,C1,0,1
11,54:F0:B1:A1:18:D5,LABPAD,22,5.170853614807129,C1,0,1
12,54:F0:B1:A1:1A:51,PoliSemFio,44,5.170853614807129,C1,0,1
13,54:F0:B1:A1:1A:53,CAEEL,39,5.170853614807129,C1,0,1
14,54:F0:B1:A1:57:F1,PoliSemFio,25,5.170853614807129,C1,0,1
15,54:F0:B1:A1:58:00,eduroam,27,5.170853614807129,C1,0,1
16,54:F0:B1:A1:58:01,PoliSemFio,27,5.170853614807129,C1,0,1
17,54:F0:B1:A1:58:02,_owetm_PoliSemFio_ac058410,32,5.170853614807129,C1,0,1
18,54:F0:B1:A1:E2:80,CEE,10,5.170853614807129,C1,0,1
19,54:F0:B1:A1:E4:F1,PoliSemFio,14,5.170853614807129,C1,0,1
20,54:F0:B1:A1:E5:00,eduroam,14,5.170853614807129,C1,0,1
21,54:F0:B1:A1:E5:01,PoliSemFio,20,5.170853614807129,C1,0,1
22,54:F0:B1:A2:4A:70,eduroam,37,5.170853614807129,C1,0,1
23,54:F0:B1:A2:4A:71,PoliSemFio,30,5.170853614807129,C1,0,1
24,54:F0:B1:A2:4A:72,,49,5.170853614807129,C1,0,1
25,54:F0:B1:A2:56:60,eduroam,39,5.170853614807129,C1,0,1
26,54:F0:B1:A2:56:61,PoliSemFio,32,5.170853614807129,C1,0,1
27,54:F0:B1:A2:56:62,_owetm_PoliSemFio_ac058410,55,5.170853614807129,C1,0,1
28,54:F0:B1:A2:56:70,eduroam,35,5.170853614807129,C1,0,1
29,54:F0:B1:A2:56:71,PoliSemFio,32,5.170853614807129,C1,0,1
30,54:F0:B1:A2:56:72,_owetm_PoliSemFio_ac058410,59,5.170853614807129,C1,0,1
31,54:F0:B1:A2:57:23,LCA,14,5.170853614807129,C1,0,1
32,54:F0:B1:A2:57:31,PoliSemFio,34,5.170853614807129,C1,0,1
33,54:F0:B1:A2:57:32,,32,5.170853614807129,C1,0,1
34,54:F0:B1:BB:58:C1,PoliSemFio,19,5.170853614807129,C1,0,1
35,54:F0:B1:BB:58:C2,_owetm_PoliSemFio_ac058410,19,5.170853614807129,C1,0,1
36,54:F0:B1:BB:58:C3,CAEEL,22,5.170853614807129,C1,0,1
37,54:F0:B1:BB:5A:81,PoliSemFio,37,5.170853614807129,C1,0,1
38,54:F0:B1:BB:5A:82,HACKER,35,5.170853614807129,C1,0,1
39,54:F0:B1:BB:5A:83,LEP,30,5.170853614807129,C1,0,1
40,54:F0:B1:BB:5A:84,,45,5.170853614807129,C1,0,1
41,54:F0:B1:BB:5A:A0,eduroam,15,5.170853614807129,C1,0,1
42,54:F0:B1:BB:5A:A1,PoliSemFio,15,5.170853614807129,C1,0,1
43,54:F0:B1:BB:5A:A2,HACKER,17,5.170853614807129,C1,0,1
44,54:F0:B1:BB:5A:A3,LEP,14,5.170853614807129,C1,0,1
45,54:F0:B1:BB:5F:B0,eduroam,12,5.170853614807129,C1,0,1
46,54:F0:B1:BB:5F:B1,PoliSemFio,14,5.170853614807129,C1,0,1
47,54:F0:B1:BB:5F:B2,_owetm_PoliSemFio_ac058410,12,5.170853614807129,C1,0,1
48,54:F0:B1:BB:80:C0,eduroam,39,5.170853614807129,C1,0,1
49,54:F0:B1:BB:80:C3,LABPROG,49,5.170853614807129,C1,0,1
50,54:F0:B1:BB:80:E3,LABPROG,12,5.170853614807129,C1,0,1
51,54:F0:B1:BB:84:B1,PoliSemFio,49,5.170853614807129,C1,0,1
52,54:F0:B1:BB:84:B2,_owetm_PoliSemFio_ac058410,49,5.170853614807129,C1,0,1
53,54:F0:B1:BB:84:D0,eduroam,15,5.170853614807129,C1,0,1
54,54:F0:B1:BB:84:D1,PoliSemFio,15,5.170853614807129,C1,0,1
55,54:F0:B1:BB:84:D2,,24,5.170853614807129,C1,0,1
56,54:F0:B1:BB:BC:02,_owetm_PoliSemFio_ac058410,47,5.170853614807129,C1,0,1
