,ap_mac,ap_name,rssi,timestamp,room
0,1c:1e:e3:94:17:f8,IFP_17f8,-56,1714719279.1840994,LC405
1,1c:1e:e3:db:04:b8,ES_8943,-93,1714719279.1840994,LC405
2,94:d4:69:f6:b5:a2,START UP FOR KIDS,-84,1714719279.1840994,LC405
3,94:d4:69:f6:b5:a3,CD91,-84,1714719279.1840994,LC405
4,94:d4:69:fa:94:48,stop&go,-80,1714719279.1840994,LC405
5,94:d4:69:fa:9a:00,eduroam,-76,1714719279.1840994,LC405
6,94:d4:69:fa:9a:01,,-76,1714719279.1840994,LC405
7,94:d4:69:fa:9a:02,START UP FOR KIDS,-77,1714719279.1840994,LC405
8,94:d4:69:fa:9a:03,CD91,-76,1714719279.1840994,LC405
9,94:d4:69:fa:9a:04,Guest-CentraleSupelec,-77,1714719279.1840994,LC405
10,94:d4:69:fa:9a:05,,-77,1714719279.1840994,LC405
11,94:d4:69:fa:9a:06,fabrique2024,-76,1714719279.1840994,LC405
12,94:d4:69:fa:9a:07,stop&go,-87,1714719279.1840994,LC405
13,94:d4:69:fa:9a:09,fabrique2024,-87,1714719279.1840994,LC405
14,94:d4:69:fa:9a:0b,Guest-CentraleSupelec,-86,1714719279.1840994,LC405
15,94:d4:69:fa:9a:0c,CD91,-86,1714719279.1840994,LC405
16,94:d4:69:fa:9a:0d,START UP FOR KIDS,-86,1714719279.1840994,LC405
17,94:d4:69:fa:9a:0f,eduroam,-87,1714719279.1840994,LC405
18,94:d4:69:fd:b1:00,eduroam,-76,1714719279.1840994,LC405
19,94:d4:69:fd:b1:01,,-76,1714719279.1840994,LC405
20,94:d4:69:fd:b1:02,START UP FOR KIDS,-76,1714719279.1840994,LC405
21,94:d4:69:fd:b1:03,CD91,-75,1714719279.1840994,LC405
22,94:d4:69:fd:b1:04,Guest-CentraleSupelec,-75,1714719279.1840994,LC405
23,94:d4:69:fd:b1:05,,-76,1714719279.1840994,LC405
24,94:d4:69:fd:b1:06,fabrique2024,-75,1714719279.1840994,LC405
25,94:d4:69:fd:b1:07,,-75,1714719279.1840994,LC405
26,94:d4:69:fd:b1:09,TOSS2024,-75,1714719279.1840994,LC405
27,94:d4:69:fd:b1:0b,Guest-CentraleSupelec,-85,1714719279.1840994,LC405
28,94:d4:69:fd:b1:0c,CD91,-84,1714719279.1840994,LC405
29,94:d4:69:fd:b1:0d,START UP FOR KIDS,-84,1714719279.1840994,LC405
30,94:d4:69:fd:b2:20,eduroam,-57,1714719279.1840994,LC405
31,94:d4:69:fd:b2:21,,-59,1714719279.1840994,LC405
32,94:d4:69:fd:b2:22,START UP FOR KIDS,-59,1714719279.1840994,LC405
33,94:d4:69:fd:b2:23,CD91,-59,1714719279.1840994,LC405
34,94:d4:69:fd:b2:24,Guest-CentraleSupelec,-59,1714719279.1840994,LC405
35,94:d4:69:fd:b2:26,fabrique2024,-57,1714719279.1840994,LC405
36,94:d4:69:fd:b2:27,,-57,1714719279.1840994,LC405
37,94:d4:69:fd:b2:28,stop&go,-59,1714719279.1840994,LC405
38,94:d4:69:fd:b2:29,TOSS2024,-57,1714719279.1840994,LC405
39,94:d4:69:fd:b2:2b,Guest-CentraleSupelec,-75,1714719279.1840994,LC405
40,94:d4:69:fd:b2:2c,CD91,-75,1714719279.1840994,LC405
41,94:d4:69:fd:b2:2d,START UP FOR KIDS,-76,1714719279.1840994,LC405
42,94:d4:69:fd:b2:2f,eduroam,-75,1714719279.1840994,LC405
43,aa:6b:ad:45:e7:0d,DIRECT-0d-HP M203 LaserJet,-83,1714719279.1840994,LC405
44,1c:1e:e3:94:17:f8,IFP_17f8,-73,1714719286.203756,LC405
45,94:d4:69:fa:9a:00,eduroam,-72,1714719286.203756,LC405
46,94:d4:69:fa:9a:01,,-71,1714719286.203756,LC405
47,94:d4:69:fa:9a:02,START UP FOR KIDS,-72,1714719286.203756,LC405
48,94:d4:69:fa:9a:03,CD91,-72,1714719286.203756,LC405
49,94:d4:69:fa:9a:04,Guest-CentraleSupelec,-72,1714719286.203756,LC405
50,94:d4:69:fa:9a:05,,-72,1714719286.203756,LC405
51,94:d4:69:fa:9a:06,fabrique2024,-72,1714719286.203756,LC405
52,94:d4:69:fa:9a:07,stop&go,-83,1714719286.203756,LC405
53,94:d4:69:fa:9a:08,stop&go,-71,1714719286.203756,LC405
54,94:d4:69:fa:9a:09,fabrique2024,-83,1714719286.203756,LC405
55,94:d4:69:fa:9a:0b,Guest-CentraleSupelec,-83,1714719286.203756,LC405
56,94:d4:69:fa:9a:0c,CD91,-83,1714719286.203756,LC405
57,94:d4:69:fa:9a:0d,START UP FOR KIDS,-83,1714719286.203756,LC405
58,94:d4:69:fa:9a:0f,eduroam,-83,1714719286.203756,LC405
59,94:d4:69:fd:b1:00,eduroam,-75,1714719286.203756,LC405
