,ap_mac,ap_name,rssi,timestamp,room
0,28:ee:52:ae:77:07,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9 5GHz,-92,1714717354.8563557,LC405test
1,28:ee:52:ae:77:08,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9,-75,1714717354.8563557,LC405test
2,32:3d:6b:ac:cc:58,Galaxy A04s F93A,-78,1714717354.8563557,LC405test
3,70:d3:79:39:de:20,eduroam,-83,1714717354.8563557,LC405test
4,70:d3:79:39:de:23,CD91,-84,1714717354.8563557,LC405test
5,70:d3:79:39:de:24,Guest-CentraleSupelec,-81,1714717354.8563557,LC405test
6,94:d4:69:f9:7d:c0,eduroam,-84,1714717354.8563557,LC405test
7,94:d4:69:fa:9a:00,eduroam,-76,1714717354.8563557,LC405test
8,94:d4:69:fa:9a:01,,-76,1714717354.8563557,LC405test
9,94:d4:69:fa:9a:02,START UP FOR KIDS,-75,1714717354.8563557,LC405test
10,94:d4:69:fa:9a:03,CD91,-76,1714717354.8563557,LC405test
11,94:d4:69:fa:9a:04,Guest-CentraleSupelec,-75,1714717354.8563557,LC405test
12,94:d4:69:fa:9a:05,,-75,1714717354.8563557,LC405test
13,94:d4:69:fa:9a:06,fabrique2024,-75,1714717354.8563557,LC405test
14,94:d4:69:fa:9a:07,,-75,1714717354.8563557,LC405test
15,94:d4:69:fa:9a:08,stop&go,-75,1714717354.8563557,LC405test
16,94:d4:69:fa:9a:09,TOSS2024,-75,1714717354.8563557,LC405test
17,94:d4:69:fa:9a:0b,Guest-CentraleSupelec,-84,1714717354.8563557,LC405test
18,94:d4:69:fa:9a:0c,CD91,-84,1714717354.8563557,LC405test
19,94:d4:69:fa:9a:0d,START UP FOR KIDS,-83,1714717354.8563557,LC405test
20,94:d4:69:fa:9a:0f,eduroam,-84,1714717354.8563557,LC405test
21,94:d4:69:fd:b1:00,eduroam,-80,1714717354.8563557,LC405test
22,94:d4:69:fd:b1:01,,-79,1714717354.8563557,LC405test
23,94:d4:69:fd:b1:02,START UP FOR KIDS,-79,1714717354.8563557,LC405test
24,94:d4:69:fd:b1:03,CD91,-81,1714717354.8563557,LC405test
25,94:d4:69:fd:b1:04,Guest-CentraleSupelec,-80,1714717354.8563557,LC405test
