,ap_mac,ap_name,rssi,timestamp,room
0,7e:6e:b0:6c:31:d8,Wifi do Ale,-25,1712700243.5921772,res3-raspi
1,80:2a:a8:17:d6:08,ViaRezo MAC auth,-64,1712700243.5921772,res3-raspi
2,80:2a:a8:18:d6:08,ViaRezo MAC auth,-66,1712700243.5921772,res3-raspi
3,80:2a:a8:18:d6:18,ViaRezo MAC auth,-76,1712700243.5921772,res3-raspi
4,86:2a:a8:17:d6:08,ViaRezo,-65,1712700243.5921772,res3-raspi
5,86:2a:a8:18:d6:08,ViaRezo,-67,1712700243.5921772,res3-raspi
6,86:2a:a8:18:d6:18,ViaRezo,-76,1712700243.5921772,res3-raspi
7,8a:2a:a8:17:d6:08,,-67,1712700243.5921772,res3-raspi
8,8a:2a:a8:18:d6:08,,-68,1712700243.5921772,res3-raspi
9,8a:2a:a8:18:d6:18,,-76,1712700243.5921772,res3-raspi
10,8e:2a:a8:17:d6:08,FedeRez,-66,1712700243.5921772,res3-raspi
11,8e:2a:a8:18:d6:08,FedeRez,-67,1712700243.5921772,res3-raspi
12,8e:2a:a8:18:d6:18,FedeRez,-76,1712700243.5921772,res3-raspi
13,92:2a:a8:17:d6:08,ViaRezo guest,-66,1712700243.5921772,res3-raspi
14,92:2a:a8:18:d6:08,ViaRezo guest,-67,1712700243.5921772,res3-raspi
15,92:2a:a8:18:d6:18,ViaRezo guest,-76,1712700243.5921772,res3-raspi
16,ae:34:24:ab:0e:83,Srazki,-56,1712700243.5921772,res3-raspi
17,b4:fb:e4:42:8f:35,ViaRezo MAC auth,-84,1712700243.5921772,res3-raspi
18,ba:fb:e4:42:8f:35,ViaRezo,-85,1712700243.5921772,res3-raspi
19,be:fb:e4:42:8f:35,,-85,1712700243.5921772,res3-raspi
20,c2:fb:e4:42:8f:35,FedeRez,-86,1712700243.5921772,res3-raspi
21,c6:fb:e4:42:8f:35,ViaRezo guest,-86,1712700243.5921772,res3-raspi
22,7e:6e:b0:6c:31:d8,Wifi do Ale,-26,1712700248.5964963,res3-raspi
23,80:2a:a8:17:d6:08,ViaRezo MAC auth,-65,1712700248.5964963,res3-raspi
24,80:2a:a8:18:d6:08,ViaRezo MAC auth,-66,1712700248.5964963,res3-raspi
25,80:2a:a8:18:d6:18,ViaRezo MAC auth,-76,1712700248.5964963,res3-raspi
26,86:2a:a8:17:d6:08,ViaRezo,-65,1712700248.5964963,res3-raspi
27,86:2a:a8:18:d6:08,ViaRezo,-67,1712700248.5964963,res3-raspi
28,86:2a:a8:18:d6:18,ViaRezo,-76,1712700248.5964963,res3-raspi
29,8a:2a:a8:17:d6:08,,-67,1712700248.5964963,res3-raspi
30,8a:2a:a8:18:d6:08,,-68,1712700248.5964963,res3-raspi
31,8a:2a:a8:18:d6:18,,-76,1712700248.5964963,res3-raspi
32,8e:2a:a8:17:d6:08,FedeRez,-65,1712700248.5964963,res3-raspi
33,8e:2a:a8:18:d6:08,FedeRez,-67,1712700248.5964963,res3-raspi
34,8e:2a:a8:18:d6:18,FedeRez,-76,1712700248.5964963,res3-raspi
35,92:2a:a8:17:d6:08,ViaRezo guest,-65,1712700248.5964963,res3-raspi
36,92:2a:a8:18:d6:08,ViaRezo guest,-67,1712700248.5964963,res3-raspi
37,92:2a:a8:18:d6:18,ViaRezo guest,-76,1712700248.5964963,res3-raspi
38,ae:34:24:ab:0e:83,Srazki,-56,1712700248.5964963,res3-raspi
39,b4:fb:e4:41:8f:35,ViaRezo MAC auth,-81,1712700248.5964963,res3-raspi
40,b4:fb:e4:42:8f:35,ViaRezo MAC auth,-84,1712700248.5964963,res3-raspi
41,ba:fb:e4:42:8f:35,ViaRezo,-85,1712700248.5964963,res3-raspi
42,be:fb:e4:42:8f:35,,-85,1712700248.5964963,res3-raspi
43,c2:fb:e4:42:8f:35,FedeRez,-86,1712700248.5964963,res3-raspi
44,c6:fb:e4:41:8f:35,ViaRezo guest,-79,1712700248.5964963,res3-raspi
45,c6:fb:e4:42:8f:35,ViaRezo guest,-86,1712700248.5964963,res3-raspi
