,ap_mac,ap_name,rssi,timestamp,room
0,7e:6e:b0:6c:31:d8,Wifi do Ale,-28,1712699121.8599367,res3-raspi
1,80:2a:a8:17:d6:08,ViaRezo MAC auth,-59,1712699121.8599367,res3-raspi
2,80:2a:a8:18:d6:08,ViaRezo MAC auth,-67,1712699121.8599367,res3-raspi
3,80:2a:a8:18:d6:18,ViaRezo MAC auth,-77,1712699121.8599367,res3-raspi
4,86:2a:a8:17:d6:08,ViaRezo,-64,1712699121.8599367,res3-raspi
5,86:2a:a8:18:d6:08,ViaRezo,-67,1712699121.8599367,res3-raspi
6,86:2a:a8:18:d6:18,ViaRezo,-77,1712699121.8599367,res3-raspi
7,8a:2a:a8:17:d6:08,,-60,1712699121.8599367,res3-raspi
8,8a:2a:a8:18:d6:08,,-67,1712699121.8599367,res3-raspi
9,8a:2a:a8:18:d6:18,,-77,1712699121.8599367,res3-raspi
10,8e:2a:a8:17:d6:08,FedeRez,-60,1712699121.8599367,res3-raspi
11,8e:2a:a8:18:d6:08,FedeRez,-67,1712699121.8599367,res3-raspi
12,8e:2a:a8:18:d6:18,FedeRez,-77,1712699121.8599367,res3-raspi
13,92:2a:a8:17:d6:08,ViaRezo guest,-61,1712699121.8599367,res3-raspi
14,92:2a:a8:18:d6:08,ViaRezo guest,-67,1712699121.8599367,res3-raspi
15,92:2a:a8:18:d6:18,ViaRezo guest,-76,1712699121.8599367,res3-raspi
16,ae:34:24:ab:0e:83,Srazki,-51,1712699121.8599367,res3-raspi
17,b4:fb:e4:42:8f:35,ViaRezo MAC auth,-87,1712699121.8599367,res3-raspi
18,ba:a9:dc:d8:1d:2b,Br\xc3\xa9hima's Galaxy A52 5Gaa,-66,1712699121.8599367,res3-raspi
19,ba:fb:e4:41:8f:35,ViaRezo,-79,1712699121.8599367,res3-raspi
20,ba:fb:e4:42:8f:35,ViaRezo,-86,1712699121.8599367,res3-raspi
21,be:fb:e4:42:8f:35,,-87,1712699121.8599367,res3-raspi
22,c2:fb:e4:42:8f:35,FedeRez,-88,1712699121.8599367,res3-raspi
23,c6:fb:e4:42:8f:35,ViaRezo guest,-87,1712699121.8599367,res3-raspi
24,e6:0d:36:db:7b:99,K1 6060,-68,1712699121.8599367,res3-raspi
25,7e:6e:b0:6c:31:d8,Wifi do Ale,-28,1712699131.8672566,res3-raspi
26,7e:6e:b0:6c:31:d8,Wifi do Ale,-26,1712699141.876886,res3-raspi
27,7e:6e:b0:6c:31:d8,Wifi do Ale,-28,1712699151.887747,res3-raspi
28,7e:6e:b0:6c:31:d8,Wifi do Ale,-28,1712699161.896102,res3-raspi
