,ap_mac,ap_name,rssi,timestamp,room
0,7e:6e:b0:6c:31:d8,Wifi do Ale,-23,1713907953.0622015,res3test
1,80:2a:a8:17:d6:08,ViaRezo MAC auth,-67,1713907953.0622015,res3test
2,80:2a:a8:17:d6:18,ViaRezo MAC auth,-71,1713907953.0622015,res3test
3,80:2a:a8:18:d6:08,ViaRezo MAC auth,-68,1713907953.0622015,res3test
4,86:2a:a8:17:d6:08,ViaRezo,-67,1713907953.0622015,res3test
5,86:2a:a8:18:d6:08,ViaRezo,-68,1713907953.0622015,res3test
6,8a:2a:a8:18:d6:08,,-68,1713907953.0622015,res3test
7,8e:2a:a8:17:d6:18,FedeRez,-72,1713907953.0622015,res3test
8,8e:2a:a8:18:d6:08,FedeRez,-68,1713907953.0622015,res3test
9,92:2a:a8:17:d6:08,ViaRezo guest,-67,1713907953.0622015,res3test
10,92:2a:a8:18:d6:08,ViaRezo guest,-68,1713907953.0622015,res3test
11,b4:fb:e4:42:8f:35,ViaRezo MAC auth,-82,1713907953.0622015,res3test
12,ba:fb:e4:42:8f:35,ViaRezo,-82,1713907953.0622015,res3test
13,be:fb:e4:42:8f:35,,-81,1713907953.0622015,res3test
14,c2:fb:e4:42:8f:35,FedeRez,-82,1713907953.0622015,res3test
15,c6:fb:e4:42:8f:35,ViaRezo guest,-82,1713907953.0622015,res3test
16,e6:0d:36:db:7b:99,K1 6060,-65,1713907953.0622015,res3test
17,7e:6e:b0:6c:31:d8,Wifi do Ale,-23,1713907954.0633442,res3test
18,80:2a:a8:17:d6:08,ViaRezo MAC auth,-67,1713907954.0633442,res3test
19,80:2a:a8:17:d6:18,ViaRezo MAC auth,-71,1713907954.0633442,res3test
20,80:2a:a8:18:d6:08,ViaRezo MAC auth,-68,1713907954.0633442,res3test
21,86:2a:a8:17:d6:08,ViaRezo,-67,1713907954.0633442,res3test
22,86:2a:a8:18:d6:08,ViaRezo,-68,1713907954.0633442,res3test
23,8a:2a:a8:18:d6:08,,-68,1713907954.0633442,res3test
24,8e:2a:a8:17:d6:18,FedeRez,-72,1713907954.0633442,res3test
25,8e:2a:a8:18:d6:08,FedeRez,-68,1713907954.0633442,res3test
26,92:2a:a8:17:d6:08,ViaRezo guest,-67,1713907954.0633442,res3test
27,92:2a:a8:18:d6:08,ViaRezo guest,-68,1713907954.0633442,res3test
28,b4:fb:e4:42:8f:35,ViaRezo MAC auth,-82,1713907954.0633442,res3test
29,ba:fb:e4:42:8f:35,ViaRezo,-82,1713907954.0633442,res3test
30,be:fb:e4:42:8f:35,,-81,1713907954.0633442,res3test
31,c2:fb:e4:42:8f:35,FedeRez,-82,1713907954.0633442,res3test
32,c6:fb:e4:42:8f:35,ViaRezo guest,-82,1713907954.0633442,res3test
33,e6:0d:36:db:7b:99,K1 6060,-65,1713907954.0633442,res3test
34,7e:6e:b0:6c:31:d8,Wifi do Ale,-23,1713907955.0643466,res3test
35,80:2a:a8:17:d6:08,ViaRezo MAC auth,-67,1713907955.0643466,res3test
36,80:2a:a8:17:d6:18,ViaRezo MAC auth,-71,1713907955.0643466,res3test
