,ap_mac,ap_name
0,00:0e:8e:6e:4d:5e,ClickShare-AMPHI LANGUES
1,1c:1e:e3:94:17:f8,IFP_17f8
2,94:d4:69:fa:9a:00,eduroam
3,94:d4:69:fa:9a:01,
4,94:d4:69:fa:9a:02,START UP FOR KIDS
5,94:d4:69:fa:9a:03,CD91
6,94:d4:69:fa:9a:04,Guest-CentraleSupelec
7,94:d4:69:fa:9a:05,
8,94:d4:69:fa:9a:06,TOSS2024
9,94:d4:69:fa:9a:07,stop&go
10,94:d4:69:fa:9a:08,stop&go
11,94:d4:69:fa:9a:09,fabrique2024
12,94:d4:69:fa:9a:0b,Guest-CentraleSupelec
13,94:d4:69:fa:9a:0c,CD91
14,94:d4:69:fa:9a:0d,START UP FOR KIDS
15,94:d4:69:fa:9a:0f,eduroam
16,94:d4:69:fd:b1:00,eduroam
17,94:d4:69:fd:b1:01,
18,94:d4:69:fd:b1:02,START UP FOR KIDS
19,94:d4:69:fd:b1:03,CD91
20,94:d4:69:fd:b1:04,Guest-CentraleSupelec
21,94:d4:69:fd:b1:05,
22,94:d4:69:fd:b1:06,fabrique2024
23,94:d4:69:fd:b1:07,
24,94:d4:69:fd:b1:08,stop&go
25,94:d4:69:fd:b1:09,TOSS2024
26,94:d4:69:fd:b2:20,eduroam
27,94:d4:69:fd:b2:21,
28,94:d4:69:fd:b2:22,START UP FOR KIDS
29,94:d4:69:fd:b2:23,CD91
30,94:d4:69:fd:b2:24,Guest-CentraleSupelec
31,94:d4:69:fd:b2:26,fabrique2024
32,94:d4:69:fd:b2:27,
33,94:d4:69:fd:b2:28,stop&go
34,94:d4:69:fd:b2:29,TOSS2024
35,94:d4:69:fd:b2:2a,
36,94:d4:69:fd:b2:2b,Guest-CentraleSupelec
37,94:d4:69:fd:b2:2c,CD91
38,94:d4:69:fd:b2:2d,START UP FOR KIDS
39,94:d4:69:fd:b2:2e,
40,94:d4:69:fd:b2:2f,eduroam
41,28:ee:52:ae:77:08,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9
42,94:d4:69:fa:94:40,eduroam
43,94:d4:69:fa:94:48,stop&go
44,94:d4:69:fa:94:49,TOSS2024
45,94:d4:69:fd:b1:0b,Guest-CentraleSupelec
46,94:d4:69:fd:b2:25,
47,70:d3:79:39:de:20,eduroam
48,70:d3:79:39:de:21,
49,70:d3:79:39:de:22,START UP FOR KIDS
50,70:d3:79:39:de:25,
51,70:d3:79:39:de:26,fabrique2024
52,70:d3:79:39:de:29,TOSS2024
53,94:d4:69:fa:94:43,CD91
54,94:d4:69:fa:94:47,
55,e8:cc:18:8d:3e:00,wifi amphi 120-3 5g
56,e8:cc:18:8d:3e:10,wifi amphi 120-3
57,70:d3:79:39:de:23,CD91
58,70:d3:79:39:de:24,Guest-CentraleSupelec
59,70:d3:79:39:de:28,stop&go
60,94:d4:69:fd:b1:0c,CD91
61,94:d4:69:fd:b1:0d,START UP FOR KIDS
62,94:d4:69:fd:b1:0f,eduroam
63,aa:6b:ad:45:e7:0d,DIRECT-0d-HP M203 LaserJet
64,28:ee:52:ae:77:07,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9 5GHz
65,94:d4:69:fd:b1:0a,
66,94:d4:69:fd:b1:0e,
67,ba:5a:e1:12:88:a3,Galaxy A12780C
68,94:d4:69:fa:94:45,
69,94:d4:69:fa:94:46,fabrique2024
70,70:d3:79:39:de:27,
71,94:d4:69:fa:94:42,START UP FOR KIDS
72,1c:1e:e3:db:04:b8,ES_8943
73,94:d4:69:fa:94:44,Guest-CentraleSupelec
74,94:d4:69:fa:9a:0a,
75,94:d4:69:fa:9a:0e,
76,10:be:f5:be:82:a8,
77,70:d3:79:39:6c:04,Guest-CentraleSupelec
78,8a:6b:77:02:ec:53,android10
79,94:d4:69:fa:94:41,
80,b2:3e:26:00:d8:44,Bbox_60635799
81,94:d4:69:f6:b5:a5,
82,94:d4:69:f9:7d:c0,eduroam
83,94:d4:69:f9:7d:c4,Guest-CentraleSupelec
84,94:d4:69:f9:7d:c9,TOSS2024
85,ce:19:66:a1:5b:2c,\xd8\xa8\xd9\x8a\xd8\xb1\xd9\x88\xd8\xaa \xd9\x88\xd8\xa7\xd9\x81\xd8\xa7\xd9\x8a
86,70:d3:79:39:6c:00,eduroam
87,70:d3:79:39:6c:02,START UP FOR KIDS
88,70:d3:79:39:6c:09,TOSS2024
89,70:d3:79:39:6c:05,
90,70:d3:79:39:6c:03,CD91
91,70:d3:79:39:6c:01,
