,ap_mac,ap_name
0,28:ee:52:ae:77:07,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9 5GHz
1,28:ee:52:ae:77:08,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9
2,32:3d:6b:ac:cc:58,Galaxy A04s F93A
3,70:d3:79:39:de:20,eduroam
4,70:d3:79:39:de:23,CD91
5,70:d3:79:39:de:24,Guest-CentraleSupelec
6,94:d4:69:f9:7d:c0,eduroam
7,94:d4:69:fa:9a:00,eduroam
8,94:d4:69:fa:9a:01,
9,94:d4:69:fa:9a:02,START UP FOR KIDS
10,94:d4:69:fa:9a:03,CD91
11,94:d4:69:fa:9a:04,Guest-CentraleSupelec
12,94:d4:69:fa:9a:05,
13,94:d4:69:fa:9a:06,fabrique2024
14,94:d4:69:fa:9a:07,
15,94:d4:69:fa:9a:08,stop&go
16,94:d4:69:fa:9a:09,TOSS2024
17,94:d4:69:fa:9a:0b,Guest-CentraleSupelec
18,94:d4:69:fa:9a:0c,CD91
19,94:d4:69:fa:9a:0d,START UP FOR KIDS
20,94:d4:69:fa:9a:0f,eduroam
21,94:d4:69:fd:b1:00,eduroam
22,94:d4:69:fd:b1:01,
23,94:d4:69:fd:b1:02,START UP FOR KIDS
24,94:d4:69:fd:b1:03,CD91
25,94:d4:69:fd:b1:04,Guest-CentraleSupelec
26,94:d4:69:fd:b1:05,
27,94:d4:69:fd:b1:06,fabrique2024
28,94:d4:69:fd:b1:07,
29,94:d4:69:fd:b1:08,stop&go
30,94:d4:69:fd:b1:09,TOSS2024
31,94:d4:69:fd:b1:0b,Guest-CentraleSupelec
32,94:d4:69:fd:b1:0c,CD91
33,94:d4:69:fd:b1:0d,START UP FOR KIDS
34,94:d4:69:fd:b1:0f,eduroam
35,94:d4:69:fd:b2:20,eduroam
36,94:d4:69:fd:b2:21,
37,94:d4:69:fd:b2:22,START UP FOR KIDS
38,94:d4:69:fd:b2:23,CD91
39,94:d4:69:fd:b2:24,Guest-CentraleSupelec
40,94:d4:69:fd:b2:25,
41,94:d4:69:fd:b2:26,fabrique2024
42,94:d4:69:fd:b2:27,
43,94:d4:69:fd:b2:28,stop&go
44,94:d4:69:fd:b2:29,TOSS2024
45,94:d4:69:fd:b2:2a,
46,94:d4:69:fd:b2:2b,Guest-CentraleSupelec
47,94:d4:69:fd:b2:2c,CD91
48,94:d4:69:fd:b2:2d,START UP FOR KIDS
49,94:d4:69:fd:b2:2e,
50,94:d4:69:fd:b2:2f,eduroam
51,b2:3e:26:00:d8:44,Bbox_60635799
52,00:0e:8e:6e:4d:5e,ClickShare-AMPHI LANGUES
53,10:be:f5:be:82:a8,
54,94:d4:69:f9:7d:40,eduroam
55,94:d4:69:fa:94:42,START UP FOR KIDS
56,94:d4:69:fa:94:48,stop&go
57,94:d4:69:fa:94:49,TOSS2024
58,70:d3:79:39:de:27,
