,ap_mac,ap_name
0,c6:fb:e4:41:8f:35,ViaRezo guest
1,80:2a:a8:18:d6:08,ViaRezo MAC auth
2,8e:2a:a8:18:d6:18,FedeRez
3,86:2a:a8:17:d6:08,ViaRezo
4,92:2a:a8:18:d6:08,ViaRezo guest
5,7e:6e:b0:6c:31:d8,Wifi do Ale
6,be:fb:e4:42:8f:35,
7,92:2a:a8:17:d6:08,ViaRezo guest
8,ba:fb:e4:42:8f:35,ViaRezo
9,8e:2a:a8:18:d6:08,FedeRez
10,8a:2a:a8:17:d6:08,
11,80:2a:a8:17:d6:08,ViaRezo MAC auth
12,8e:2a:a8:17:d6:08,FedeRez
13,b4:fb:e4:42:8f:35,ViaRezo MAC auth
14,80:2a:a8:18:d6:18,ViaRezo MAC auth
15,86:2a:a8:18:d6:08,ViaRezo
16,c6:fb:e4:42:8f:35,ViaRezo guest
17,86:2a:a8:18:d6:18,ViaRezo
18,8a:2a:a8:18:d6:08,
19,b4:fb:e4:41:8f:35,ViaRezo MAC auth
20,92:2a:a8:18:d6:18,ViaRezo guest
21,ae:34:24:ab:0e:83,Srazki
22,c2:fb:e4:42:8f:35,FedeRez
23,8a:2a:a8:18:d6:18,
