,ap_mac,ap_name
0,80:2a:a8:18:d6:18,ViaRezo MAC auth
1,80:2a:a8:17:d6:18,ViaRezo MAC auth
2,92:2a:a8:18:d6:18,ViaRezo guest
3,8a:2a:a8:17:d6:08,
4,86:2a:a8:18:d6:08,ViaRezo
5,8e:2a:a8:18:d6:18,FedeRez
6,86:2a:a8:18:d6:18,ViaRezo
7,92:2a:a8:18:d6:08,ViaRezo guest
8,92:2a:a8:17:d6:08,ViaRezo guest
9,e6:0d:36:db:7b:99,K1 6060
10,8a:2a:a8:18:d6:18,
11,8e:2a:a8:18:d6:08,FedeRez
12,86:2a:a8:17:d6:08,ViaRezo
13,7e:6e:b0:6c:31:d8,Wifi do Ale
14,80:2a:a8:17:d6:08,ViaRezo MAC auth
15,80:2a:a8:18:d6:08,ViaRezo MAC auth
