timestamp,00:0e:8e:6e:4d:5e,10:be:f5:be:82:a8,10:be:f5:be:83:c0,1c:1e:e3:db:04:b8,28:ee:52:ae:77:07,28:ee:52:ae:77:08,32:3d:6b:ac:cc:58,70:d3:79:39:6c:00,70:d3:79:39:6c:01,70:d3:79:39:6c:02,70:d3:79:39:6c:03,70:d3:79:39:6c:04,70:d3:79:39:6c:05,70:d3:79:39:6c:06,70:d3:79:39:6c:07,70:d3:79:39:6c:09,70:d3:79:39:de:20,70:d3:79:39:de:21,70:d3:79:39:de:22,70:d3:79:39:de:23,70:d3:79:39:de:24,70:d3:79:39:de:25,70:d3:79:39:de:26,70:d3:79:39:de:27,70:d3:79:39:de:28,70:d3:79:39:de:29,94:d4:69:f6:b5:a0,94:d4:69:f6:b5:a1,94:d4:69:f6:b5:a2,94:d4:69:f6:b5:a3,94:d4:69:f6:b5:a4,94:d4:69:f6:b5:a5,94:d4:69:f6:b5:a6,94:d4:69:f6:b5:a7,94:d4:69:f6:b5:a8,94:d4:69:f7:98:e9,94:d4:69:f9:7d:c0,94:d4:69:f9:7d:c1,94:d4:69:f9:7d:c2,94:d4:69:f9:7d:c3,94:d4:69:f9:7d:c4,94:d4:69:f9:7d:c5,94:d4:69:f9:7d:c6,94:d4:69:f9:7d:c7,94:d4:69:f9:7d:c8,94:d4:69:f9:7d:c9,94:d4:69:fa:94:40,94:d4:69:fa:94:41,94:d4:69:fa:94:42,94:d4:69:fa:94:43,94:d4:69:fa:94:44,94:d4:69:fa:94:45,94:d4:69:fa:94:46,94:d4:69:fa:94:47,94:d4:69:fa:94:48,94:d4:69:fa:94:49,94:d4:69:fa:9a:00,94:d4:69:fa:9a:01,94:d4:69:fa:9a:02,94:d4:69:fa:9a:03,94:d4:69:fa:9a:04,94:d4:69:fa:9a:05,94:d4:69:fa:9a:06,94:d4:69:fa:9a:07,94:d4:69:fa:9a:08,94:d4:69:fa:9a:09,94:d4:69:fa:9a:0a,94:d4:69:fa:9a:0b,94:d4:69:fa:9a:0c,94:d4:69:fa:9a:0d,94:d4:69:fa:9a:0e,94:d4:69:fa:9a:0f,94:d4:69:fd:ac:e5,94:d4:69:fd:ac:e6,94:d4:69:fd:ac:e7,94:d4:69:fd:ac:e8,94:d4:69:fd:ac:e9,94:d4:69:fd:b1:00,94:d4:69:fd:b1:01,94:d4:69:fd:b1:02,94:d4:69:fd:b1:03,94:d4:69:fd:b1:04,94:d4:69:fd:b1:05,94:d4:69:fd:b1:06,94:d4:69:fd:b1:07,94:d4:69:fd:b1:08,94:d4:69:fd:b1:09,94:d4:69:fd:b1:0a,94:d4:69:fd:b1:0b,94:d4:69:fd:b1:0c,94:d4:69:fd:b1:0d,94:d4:69:fd:b1:0e,94:d4:69:fd:b1:0f,94:d4:69:fd:b1:e0,94:d4:69:fd:b1:e3,94:d4:69:fd:b1:e4,94:d4:69:fd:b1:e5,94:d4:69:fd:b1:e6,94:d4:69:fd:b1:e7,94:d4:69:fd:b1:e9,94:d4:69:fd:b2:20,94:d4:69:fd:b2:21,94:d4:69:fd:b2:22,94:d4:69:fd:b2:23,94:d4:69:fd:b2:24,94:d4:69:fd:b2:25,94:d4:69:fd:b2:26,94:d4:69:fd:b2:27,94:d4:69:fd:b2:28,94:d4:69:fd:b2:29,94:d4:69:fd:b2:2a,94:d4:69:fd:b2:2b,94:d4:69:fd:b2:2c,94:d4:69:fd:b2:2d,94:d4:69:fd:b2:2e,94:d4:69:fd:b2:2f,aa:6b:ad:45:e7:0d,b2:3e:26:00:d8:44,e8:cc:18:8d:3e:00,e8:cc:18:8d:3e:10
1714717674.3727086,-90,,,,,-81,-74,-81,,,,,,,-80,,-82,-81,-81,,,,-81,-81,-81,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-81,-80,-71,-71,,-71,-71,-71,-71,-70,-71,-71,-85,-85,-85,-85,-86,-85,,,,,,-73,-74,-74,-74,-74,-73,-73,-73,-73,-73,,,,,,,,,,,,,,-63,-63,-63,-63,-63,,-63,-79,-63,-63,,-80,-80,-79,,-79,,,,
1714717681.4017336,-93,,,,,-81,-71,-81,,,,,,,-80,,-82,-81,-81,,,,-81,-81,-81,-82,,,,,,,,,,,,,,,,,,,,,-80,,,,,,,,-81,-81,-71,-71,,-71,-71,-71,-74,-70,-74,-74,-85,-83,-83,-83,-86,-83,,,,,,-76,-76,-76,-76,-76,-76,-76,-77,-76,-76,,,,,,,,,,,,,,-63,-62,-63,-63,-63,-63,-63,-78,-63,-63,,-77,-77,-78,,-78,,,,
1714717688.4116926,-90,,,,,-78,-75,,-84,,,,,,,,-81,-80,-80,-81,,-80,-81,-81,-81,,,,,,,,,,,,,,,,,,,,,,-80,,,,,,,,-80,-81,-72,-72,-72,-72,,-72,-72,-85,-72,-72,,-84,-85,-84,,-85,,,,,,-75,-75,-74,-75,-74,-74,-74,-74,-74,-74,,,,-86,,,,,,,,,,-64,-64,-64,-64,-65,-65,-64,-83,-64,-64,,-83,-83,-82,,-83,,,,
1714717696.379162,-93,,,,,,-70,,,,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,-71,-71,-71,-71,-72,,-72,-71,-71,-71,,-82,-82,-82,,-82,,,,,,-73,-73,-74,,,,,-73,-73,-74,,-89,,,,-89,,,,,,,,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,,-75,-75,-75,,-75,-84,,,
1714717702.453411,-90,,,,,-80,-78,,,,,,,,,,-81,-81,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,-79,-78,-79,,-78,-78,-79,-78,-78,-70,-70,-70,-70,-70,-70,-70,-70,-70,-70,,-83,-83,-83,,-83,,,,,,-75,-75,-75,-75,,-74,-75,-75,-75,-75,,-87,,,,-89,,,,,,,,-56,-56,-56,-56,-56,-56,-56,-56,-56,-55,,-77,-77,-77,,-77,-84,,,
1714717709.4839828,-94,,,,,-80,-72,,,,,,,,,,-82,-81,-82,,,,,,-82,-83,,,,,,,,,,,,,,,,,,,,,-78,-78,-78,-79,,-78,-78,-79,-78,-78,-75,-70,-70,-70,-70,-70,-75,-70,-70,-75,,-82,-82,-82,,-81,,,,,,-75,-75,-75,-78,,-78,-78,-75,-75,-75,,-87,,,,,,,,,,,,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,,-72,-72,-72,,-73,,,,
1714717716.4976435,-92,,,,,,-76,,,,,,,,,,,,-82,-83,-82,-83,,,,,,,,,,,,,,,,,,,,,,,,,-78,-78,-78,-78,-77,-79,-78,,-77,-78,-71,,-71,-71,-71,-71,-71,-71,-70,-71,,-84,-84,-84,,-84,,,,,,,,-79,-79,-78,-78,-79,-79,-79,-79,,-87,,,,,,,,,,,,-56,,-56,-56,-56,-55,-56,-78,-56,-56,,-78,-78,-78,,-78,,,,
1714717723.5062659,-95,,,,,-74,-72,,,,,,,,,,,,-81,-81,-81,-81,,,,,,,,,,,,,,,,,,,,,,,,,-79,-79,-78,-79,-77,-79,-79,-78,-79,-78,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,,-80,-80,-80,,-80,,,,,,-74,-74,-74,-74,-75,-74,-74,-74,-74,-74,,-87,,,,,,,,,,,,-62,-62,-61,-62,-61,-62,-62,-72,-62,-62,,-71,-72,-72,,-72,,,,
1714717730.5317738,-95,,,,,-74,-72,,,,,,,,,,-81,-81,-81,-81,-81,-81,-81,,,,,,,,,,,,,,,,,,,,,,,,-79,-79,-78,-79,,-79,-79,-78,-79,,-72,-72,-72,-72,-72,-72,-72,-72,-72,-72,,-80,-80,-80,,-80,,,,,,-74,-74,-74,-74,-75,-74,-74,-74,-74,-74,,,,,,,,,,,,,,-62,-62,-61,-62,-61,-62,-62,-72,-62,-62,,-71,-72,-72,,-72,,,,
1714717737.5550547,-93,,,,,-75,-74,,,,,,,,,,,,,-84,,,,-83,-83,-83,,,,,,,,,,,,,,,,,,,,,-82,-78,-79,-79,-79,-79,-79,-79,-79,-82,-76,-73,-76,-76,-76,-76,-73,-76,-76,-76,,-86,-86,-86,,-85,,,,,,-77,,,,,,-77,-88,-77,-77,,-88,-88,-88,,-87,,,,,,,,-60,,-59,-59,-60,-60,-76,-76,-59,-76,,-76,-76,-76,,-76,,,,
