timestamp,00:0e:8e:6e:4d:5e,10:be:f5:be:82:a8,1c:1e:e3:94:17:f8,1c:1e:e3:db:04:b8,28:ee:52:ae:77:07,28:ee:52:ae:77:08,32:3d:6b:ac:cc:58,70:d3:79:39:6c:00,70:d3:79:39:6c:01,70:d3:79:39:6c:02,70:d3:79:39:6c:03,70:d3:79:39:6c:04,70:d3:79:39:6c:05,70:d3:79:39:6c:06,70:d3:79:39:6c:07,70:d3:79:39:6c:08,70:d3:79:39:6c:09,70:d3:79:39:de:20,70:d3:79:39:de:21,70:d3:79:39:de:22,70:d3:79:39:de:23,70:d3:79:39:de:24,70:d3:79:39:de:25,70:d3:79:39:de:26,70:d3:79:39:de:27,70:d3:79:39:de:28,70:d3:79:39:de:29,94:d4:69:f6:b5:a0,94:d4:69:f6:b5:a1,94:d4:69:f6:b5:a2,94:d4:69:f6:b5:a3,94:d4:69:f6:b5:a4,94:d4:69:f6:b5:a6,94:d4:69:f6:b5:a7,94:d4:69:f6:b5:a8,94:d4:69:f6:b5:a9,94:d4:69:f9:7d:c0,94:d4:69:f9:7d:c1,94:d4:69:f9:7d:c2,94:d4:69:f9:7d:c3,94:d4:69:f9:7d:c4,94:d4:69:f9:7d:c5,94:d4:69:f9:7d:c6,94:d4:69:f9:7d:c7,94:d4:69:f9:7d:c8,94:d4:69:f9:7d:c9,94:d4:69:fa:94:40,94:d4:69:fa:94:41,94:d4:69:fa:94:42,94:d4:69:fa:94:43,94:d4:69:fa:94:44,94:d4:69:fa:94:45,94:d4:69:fa:94:46,94:d4:69:fa:94:47,94:d4:69:fa:94:48,94:d4:69:fa:94:49,94:d4:69:fa:9a:00,94:d4:69:fa:9a:01,94:d4:69:fa:9a:02,94:d4:69:fa:9a:03,94:d4:69:fa:9a:04,94:d4:69:fa:9a:05,94:d4:69:fa:9a:06,94:d4:69:fa:9a:07,94:d4:69:fa:9a:08,94:d4:69:fa:9a:09,94:d4:69:fa:9a:0a,94:d4:69:fa:9a:0b,94:d4:69:fa:9a:0c,94:d4:69:fa:9a:0d,94:d4:69:fa:9a:0e,94:d4:69:fa:9a:0f,94:d4:69:fd:ac:e2,94:d4:69:fd:ac:e6,94:d4:69:fd:ac:e7,94:d4:69:fd:b1:00,94:d4:69:fd:b1:01,94:d4:69:fd:b1:02,94:d4:69:fd:b1:03,94:d4:69:fd:b1:04,94:d4:69:fd:b1:05,94:d4:69:fd:b1:06,94:d4:69:fd:b1:07,94:d4:69:fd:b1:08,94:d4:69:fd:b1:09,94:d4:69:fd:b1:0a,94:d4:69:fd:b1:0b,94:d4:69:fd:b1:0c,94:d4:69:fd:b1:0d,94:d4:69:fd:b1:0e,94:d4:69:fd:b1:0f,94:d4:69:fd:b2:20,94:d4:69:fd:b2:21,94:d4:69:fd:b2:22,94:d4:69:fd:b2:23,94:d4:69:fd:b2:24,94:d4:69:fd:b2:25,94:d4:69:fd:b2:26,94:d4:69:fd:b2:27,94:d4:69:fd:b2:28,94:d4:69:fd:b2:29,94:d4:69:fd:b2:2a,94:d4:69:fd:b2:2b,94:d4:69:fd:b2:2c,94:d4:69:fd:b2:2d,94:d4:69:fd:b2:2e,94:d4:69:fd:b2:2f,aa:6b:ad:45:e7:0d,b2:3e:26:00:d8:44,e8:cc:18:8d:3e:00,e8:cc:18:8d:3e:10
1714718470.9379177,,,-52,,,-78,-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80,-80,-80,-81,-80,-80,-80,-81,-80,-76,-73,-73,-73,-73,-73,-73,-73,-73,-73,-73,,-80,-80,-80,,-80,,,,-74,-74,-74,-75,,-74,-75,-74,-73,-74,,,-86,-86,,-85,-58,-60,-60,-60,-57,-58,-57,-59,-59,-60,,-77,-77,-77,,-77,,,,
1714718477.9432304,,,-65,,,-75,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82,-82,,-82,,-82,-82,-82,,-83,,,,,,,,,,,,,,,,,,,,-54,-54,-54,-54,-54,-54,-54,-54,-54,-54,,-80,-80,-79,-79,-80,,,,
1714718484.9478421,,,-54,,,-75,-72,,,,,,,,,,,,,,,,,,-84,,,,,,,,,,,,,,,-84,-86,-84,-85,-85,,,,,,,,,,,,,-74,-74,-74,-74,-73,-74,-81,-82,-74,-82,,-81,-82,-81,,-81,,,,-75,-74,-74,-75,-75,-74,-75,-75,-74,-73,,,-84,,,,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-75,-75,-75,-75,-75,-75,,-87,,
1714718491.9516978,,,-54,,,,-72,,,,,,,,,,,,,,,,,,-84,,,,,,,,,,,,,,,-84,-86,-84,-85,-85,,,,,,,,,,,,,-74,-74,-74,-74,-73,-74,-81,-82,-74,-82,,-81,-82,-81,,-81,,,,-75,-74,-74,-75,-75,-74,-75,-75,-74,-73,,,-84,,,,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-75,-75,-75,-75,-75,-75,,-87,,
1714718498.9568489,,,-60,,,-73,-72,,,,,,,,,,,,,-82,,,,,,,,-83,-83,,,,,,,,-83,,,,,,-83,-84,,,,,,,-79,,-79,,-80,-79,-77,-76,-77,-76,-76,-76,-85,-84,-75,-85,,-85,-85,-85,,-85,,,,-76,-75,,-73,-73,-73,-75,-75,-73,-75,,,,,,,-58,-58,-58,-59,-59,-60,-60,-54,-59,-58,-74,-74,-74,-74,-74,-74,-82,,,
1714718505.963325,,-96,-68,,,-73,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,-77,-78,-77,-77,-77,-84,-84,-77,-84,,-84,-84,-84,,-84,,,,-73,-73,-73,-72,-73,-73,-73,-73,-73,-72,,,,,,,-53,-53,-53,-53,-53,-53,-53,-52,-53,-53,,-77,-76,-76,,-77,,,,
1714718512.9686217,,-96,-56,,,-75,-76,,,,,,,,,,,,,,,,,,,,,-84,-84,-84,-84,,,,,,-81,-82,-81,-82,,-82,-83,-82,-82,-81,,,,,,,,,,,-77,-77,-78,-77,-77,-77,-82,-81,-77,-81,,-81,-81,-81,,-81,,,,-73,-73,-73,-72,-73,-73,-73,-73,-73,-72,,,,-85,,,-56,-55,-56,-56,-56,-55,-56,-56,-56,-56,,-73,-73,-73,,-73,-81,,,
1714718519.9741058,,,-67,,-94,-75,-75,,,,,,,,,,,,,,,,,,,,,-84,-84,-84,-84,-84,,,,,-81,-82,-81,-82,-81,-82,-83,-82,-82,-81,,,,,,,,,,,-75,-75,-75,-75,,-74,-84,-85,-74,-85,,-85,-84,-84,,-84,,-86,,-75,,,,,-75,-75,-84,,-75,,,,-85,,,-53,-53,-53,-53,-53,-53,-53,-53,-53,-53,,-78,-78,-78,,-78,-81,-90,,
1714718527.938232,,,,-87,-96,-73,-77,-83,-84,,,,-84,-83,,,-84,-84,-82,,,,-84,-83,,,,,,,,,,,,,,,,-84,,,,,,,,,,,,,,,,,-75,-75,-75,-75,,,-74,-74,-75,-81,,,-81,-82,,-81,-84,-84,-84,-74,-74,-74,-74,,-74,-73,-73,-73,-73,,,,-86,,,-57,-57,-57,-57,,-57,-57,-58,-57,-57,-77,,-77,-77,-77,-77,,-91,,
1714718533.984106,,,,-87,-96,-75,-77,-83,-84,,,,-84,-83,,,-84,-84,-82,,,,-84,-83,,,,,,,,,,,,,,,,-84,,,,,,,,,,,,,,,,,-75,-75,-75,-75,,,-74,-74,-75,-86,,,-85,-86,,-86,-84,-84,-84,-74,-74,-74,-74,,-74,-73,-73,-73,-73,,,,-86,,,-55,-55,-55,-55,,-55,-55,-55,-55,-55,-77,,-73,-73,-77,-73,,-91,,
