timestamp,00:0e:8e:6e:4d:5e,10:be:f5:be:82:a8,10:be:f5:be:83:c0,1c:1e:e3:94:17:f8,1c:1e:e3:db:04:b8,28:ee:52:ae:77:07,28:ee:52:ae:77:08,70:d3:79:39:6c:00,70:d3:79:39:6c:01,70:d3:79:39:6c:02,70:d3:79:39:6c:03,70:d3:79:39:6c:04,70:d3:79:39:6c:05,70:d3:79:39:6c:06,70:d3:79:39:6c:07,70:d3:79:39:6c:08,70:d3:79:39:6c:09,70:d3:79:39:de:20,70:d3:79:39:de:21,70:d3:79:39:de:22,70:d3:79:39:de:23,70:d3:79:39:de:24,70:d3:79:39:de:25,70:d3:79:39:de:26,70:d3:79:39:de:27,70:d3:79:39:de:28,70:d3:79:39:de:29,94:d4:69:f6:b5:a1,94:d4:69:f6:b5:a2,94:d4:69:f6:b5:a3,94:d4:69:f6:b5:a4,94:d4:69:f6:b5:a5,94:d4:69:f6:b5:a6,94:d4:69:f6:b5:a8,94:d4:69:f7:98:e0,94:d4:69:f7:98:e1,94:d4:69:f7:98:e2,94:d4:69:f7:98:e3,94:d4:69:f7:98:e5,94:d4:69:f7:98:e6,94:d4:69:f7:98:e7,94:d4:69:f9:7d:c0,94:d4:69:f9:7d:c1,94:d4:69:f9:7d:c2,94:d4:69:f9:7d:c3,94:d4:69:f9:7d:c4,94:d4:69:f9:7d:c5,94:d4:69:f9:7d:c6,94:d4:69:f9:7d:c7,94:d4:69:f9:7d:c8,94:d4:69:f9:7d:c9,94:d4:69:fa:94:40,94:d4:69:fa:94:41,94:d4:69:fa:94:42,94:d4:69:fa:94:43,94:d4:69:fa:94:44,94:d4:69:fa:94:45,94:d4:69:fa:94:46,94:d4:69:fa:94:47,94:d4:69:fa:94:48,94:d4:69:fa:94:49,94:d4:69:fa:9a:00,94:d4:69:fa:9a:01,94:d4:69:fa:9a:02,94:d4:69:fa:9a:03,94:d4:69:fa:9a:04,94:d4:69:fa:9a:05,94:d4:69:fa:9a:06,94:d4:69:fa:9a:07,94:d4:69:fa:9a:08,94:d4:69:fa:9a:09,94:d4:69:fa:9a:0a,94:d4:69:fa:9a:0b,94:d4:69:fa:9a:0c,94:d4:69:fa:9a:0d,94:d4:69:fa:9a:0e,94:d4:69:fa:9a:0f,94:d4:69:fd:ac:e5,94:d4:69:fd:b1:00,94:d4:69:fd:b1:01,94:d4:69:fd:b1:02,94:d4:69:fd:b1:03,94:d4:69:fd:b1:04,94:d4:69:fd:b1:05,94:d4:69:fd:b1:06,94:d4:69:fd:b1:07,94:d4:69:fd:b1:08,94:d4:69:fd:b1:09,94:d4:69:fd:b1:0a,94:d4:69:fd:b1:0b,94:d4:69:fd:b1:0c,94:d4:69:fd:b1:0d,94:d4:69:fd:b1:0e,94:d4:69:fd:b1:0f,94:d4:69:fd:b1:e0,94:d4:69:fd:b1:e1,94:d4:69:fd:b1:e2,94:d4:69:fd:b1:e3,94:d4:69:fd:b1:e4,94:d4:69:fd:b1:e5,94:d4:69:fd:b1:e9,94:d4:69:fd:b2:20,94:d4:69:fd:b2:21,94:d4:69:fd:b2:22,94:d4:69:fd:b2:23,94:d4:69:fd:b2:24,94:d4:69:fd:b2:25,94:d4:69:fd:b2:26,94:d4:69:fd:b2:27,94:d4:69:fd:b2:28,94:d4:69:fd:b2:29,94:d4:69:fd:b2:2a,94:d4:69:fd:b2:2b,94:d4:69:fd:b2:2c,94:d4:69:fd:b2:2d,94:d4:69:fd:b2:2e,94:d4:69:fd:b2:2f,aa:6b:ad:45:e7:0d,b2:3e:26:00:d8:44,ba:5a:e1:12:88:a3,e8:cc:18:8d:3e:00,e8:cc:18:8d:3e:10
1714719279.1840994,,,,-56,-93,,,,,,,,,,,,,,,,,,,,,,,,-84,-84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80,,-76,-76,-77,-76,-77,-77,-76,-87,,-87,,-86,-86,-86,,-87,,-76,-76,-76,-75,-75,-76,-75,-75,,-75,,-85,-84,-84,,,,,,,,,,-57,-59,-59,-59,-59,,-57,-57,-59,-57,,-75,-75,-76,,-75,-83,,,,
1714719286.203756,,,,-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-71,-72,-72,-72,-72,-72,-83,-71,-83,,-83,-83,-83,,-83,,-75,-76,-75,,-75,-75,-76,-76,-75,-75,,-87,-87,-86,,-86,,,,,,,,-66,-66,-66,-66,-66,-66,-66,-65,-66,-65,,-78,-78,-78,,-78,,,,,
1714719293.2210002,,,,-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72,-71,-72,-72,-72,-72,-72,-83,-71,-83,,-83,-83,-83,,-83,,-75,-76,-75,,-75,-75,-76,-76,-75,-75,,-87,-87,-86,,-86,,,,,,,,-66,-66,-66,-66,-66,-66,-66,-65,-66,-65,,-78,-78,-78,,-78,,,,,
1714719300.2546198,,,,-79,,,,-80,-81,-81,-81,-80,-80,-80,-80,-80,,-82,-81,-82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-83,,,,-75,-74,-75,-73,-73,-73,-75,-84,-75,-84,,-83,-84,-84,,-84,,-77,-78,-78,-78,,,-74,-74,-77,-74,-87,,,-87,,,,,,,,,,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,,-80,-80,-80,,-80,,-87,,,
1714719307.2780404,,,,-60,,,,-80,-81,-80,,-80,-80,-81,-81,-81,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80,,,,-76,-76,-76,,,,-77,-77,-77,-77,,-84,-84,-84,,-85,,-75,-75,-75,-76,-76,-76,-76,-75,-76,-76,,,,,,,,,,,,,,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,,-75,-75,-75,,-76,,,,,
1714719314.301087,,,,-77,,,,-80,-81,-80,,-80,-80,-81,-81,-81,-81,-82,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80,,,-83,-74,-74,-74,-74,,-74,-74,-74,-74,-74,,-87,-87,-86,,-87,,-74,-74,-74,-74,-74,-74,-74,-73,-74,-74,,,-87,-87,,,,,,,,,,-61,-65,-61,-61,-61,-65,-61,-65,-61,-61,,-82,-83,-83,,-82,,,,,
1714719321.3290172,-96,,,-60,,,-77,,,,,,,,,,,-82,-81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-80,-79,,-83,-75,-75,-75,-74,-74,-75,-75,-75,-75,-74,,-85,-85,-85,-85,-85,,-77,-76,-76,-76,-76,-76,-74,-73,-76,-77,-87,-87,-87,-87,-87,-87,,,,,,,,-64,-63,-63,-63,-63,-63,-63,-74,-63,-63,,-74,-74,-74,,-74,,,,,
1714719329.3120298,,,,-77,,,-81,,,,,,,,,,,,,,,,,,,-83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75,-74,-75,-75,-75,-75,-75,-83,-73,-84,,-83,-84,-83,,-83,,-76,-76,-76,-76,-76,,-77,-86,,-76,,-87,-86,-86,,-86,,,,,,,,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,,-84,-83,-83,,-84,,,,,
1714719335.374729,,,,-66,,,-81,,,,,,-81,,,-81,-81,,,,,,,,,-83,,,,,,,,,,,,,,,,-81,,,,,-80,-81,,-81,-80,,,,,,,-81,-82,,,-69,-74,-75,-70,-69,-69,-75,-84,-70,-83,,-84,-84,-83,,-83,,-76,-76,-76,-76,-76,,-77,-86,,-74,,-87,-86,-86,,-86,,,,,,,,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,,-84,-83,-83,,-84,-83,,,,
1714719342.4000115,,,,-72,,-90,-78,,,,,,-81,,,-81,-81,-81,-80,,-81,-81,,,,,,,,,,,,-85,,,,,,,,-81,,,,,-80,-81,,-81,-80,,,,,,,-82,-82,,,-76,-76,-76,-76,-77,-76,-83,-83,-70,-83,,-82,-82,-82,,-83,-85,-74,-74,-74,-74,,-74,-74,-75,-74,-74,,,,,,,,,,,,,,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,,,-83,-83,,-83,-83,,,,
