timestamp,00:0e:8e:6e:4d:5e,10:be:f5:be:82:a8,1c:1e:e3:94:17:f8,1c:1e:e3:db:04:b8,28:ee:52:ae:77:07,28:ee:52:ae:77:08,70:d3:79:39:6c:00,70:d3:79:39:6c:01,70:d3:79:39:6c:02,70:d3:79:39:6c:03,70:d3:79:39:6c:04,70:d3:79:39:6c:05,70:d3:79:39:6c:09,70:d3:79:39:de:20,70:d3:79:39:de:21,70:d3:79:39:de:22,70:d3:79:39:de:23,70:d3:79:39:de:24,70:d3:79:39:de:25,70:d3:79:39:de:26,70:d3:79:39:de:27,70:d3:79:39:de:28,70:d3:79:39:de:29,8a:6b:77:02:ec:53,94:d4:69:f6:b5:a5,94:d4:69:f9:7d:c0,94:d4:69:f9:7d:c4,94:d4:69:f9:7d:c9,94:d4:69:fa:94:40,94:d4:69:fa:94:41,94:d4:69:fa:94:42,94:d4:69:fa:94:43,94:d4:69:fa:94:44,94:d4:69:fa:94:45,94:d4:69:fa:94:46,94:d4:69:fa:94:47,94:d4:69:fa:94:48,94:d4:69:fa:94:49,94:d4:69:fa:9a:00,94:d4:69:fa:9a:01,94:d4:69:fa:9a:02,94:d4:69:fa:9a:03,94:d4:69:fa:9a:04,94:d4:69:fa:9a:05,94:d4:69:fa:9a:06,94:d4:69:fa:9a:07,94:d4:69:fa:9a:08,94:d4:69:fa:9a:09,94:d4:69:fa:9a:0a,94:d4:69:fa:9a:0b,94:d4:69:fa:9a:0c,94:d4:69:fa:9a:0d,94:d4:69:fa:9a:0e,94:d4:69:fa:9a:0f,94:d4:69:fd:b1:00,94:d4:69:fd:b1:01,94:d4:69:fd:b1:02,94:d4:69:fd:b1:03,94:d4:69:fd:b1:04,94:d4:69:fd:b1:05,94:d4:69:fd:b1:06,94:d4:69:fd:b1:07,94:d4:69:fd:b1:08,94:d4:69:fd:b1:09,94:d4:69:fd:b1:0a,94:d4:69:fd:b1:0b,94:d4:69:fd:b1:0c,94:d4:69:fd:b1:0d,94:d4:69:fd:b1:0e,94:d4:69:fd:b1:0f,94:d4:69:fd:b2:20,94:d4:69:fd:b2:21,94:d4:69:fd:b2:22,94:d4:69:fd:b2:23,94:d4:69:fd:b2:24,94:d4:69:fd:b2:25,94:d4:69:fd:b2:26,94:d4:69:fd:b2:27,94:d4:69:fd:b2:28,94:d4:69:fd:b2:29,94:d4:69:fd:b2:2a,94:d4:69:fd:b2:2b,94:d4:69:fd:b2:2c,94:d4:69:fd:b2:2d,94:d4:69:fd:b2:2e,94:d4:69:fd:b2:2f,aa:6b:ad:45:e7:0d,b2:3e:26:00:d8:44,ba:5a:e1:12:88:a3,ce:19:66:a1:5b:2c,e8:cc:18:8d:3e:00,e8:cc:18:8d:3e:10
1714720056.4583986,-97,,-62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-74,-74,-74,-74,-74,-74,-80,-79,-75,-80,,-80,-79,-80,,-80,-74,-74,-74,-74,-74,-75,-74,-74,-74,-74,,,,,,,-62,-62,-62,-62,-62,,-62,-62,-62,-62,-80,-80,-80,-80,-80,-80,,,,,,
1714720063.465104,-97,,-66,,,-74,,,,,,,,,,,,,,,,,,,,,,,-79,,,,,,,,-79,-79,-75,-75,-75,-76,-76,-76,-84,-84,-75,-84,,-83,-84,-84,,-84,-74,-77,-78,-74,-78,-78,-78,-78,-78,-78,,-90,,,,,-57,-56,-57,-57,-57,-57,-57,-57,-59,-59,-80,-76,-76,-76,-80,-76,,,,,,
1714720070.4675655,,,-66,,,-74,,,,,,,,,,,,,,,,,,,,,,,-79,,,,,,,,-79,-79,-75,-75,-75,-76,-76,-76,-84,-84,,-84,,-83,-84,-84,,-84,,-77,-78,,-78,-78,-78,-78,-78,-78,,-90,,,,,-57,-56,-57,-57,-57,-57,-57,-57,-59,-59,,-76,-76,-76,,-76,,,,,,
1714720077.472196,,,-60,,,-73,,,,,,,,-82,-81,-82,,,-81,-82,,,-82,,,,,,,,,-79,,,,-79,-80,,,,-73,-73,-74,-73,-83,-83,-73,-84,,-83,-83,-83,,-83,-75,-75,-76,-76,-76,-76,-76,-75,-75,-75,,,,,,,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,,-77,-77,-76,,-77,,,,,-94,-91
1714720084.4770243,,,-62,,,-73,,,,,,,,-82,-81,-82,,,-81,-82,,,-82,,,,,,,,,-79,,,,-79,-80,,,,-73,-74,-74,-73,-79,-79,-74,-79,,-79,-79,-79,,-79,-75,-75,-76,-76,-76,-76,-76,-75,-75,-77,,,,,,,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,,-79,-79,-79,,-79,,,,,-94,-91
1714720091.479944,,,-61,,,,,,,,,,,-82,,,-82,-82,-82,-82,,-82,-82,,,,,,,,,,,,,,,,-75,-75,-75,-75,-75,-76,-83,-83,-74,-84,,-83,-83,-83,,-83,,,,,-76,,-89,-88,,-77,,-87,-88,-88,,-88,-63,-67,-63,-63,-63,-63,-63,-63,-63,-63,,-77,-77,-77,,-77,-85,,,,,
1714720098.4839926,,,-62,,-94,,,,,,,,,,,,,-82,,-82,,,,,,,,,,,,,,,,,,,-75,,-75,-75,-75,,-80,-80,,-80,,-80,-80,-80,,-80,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-91,-90,-90,-90,-90,-90,-64,-64,-64,-65,-64,,-65,-64,-64,-64,,-78,-78,-79,,-78,,,,,,
1714720105.4893467,,,-62,,-94,,,,,,,,,,,,,-82,,-82,,,,,,,,,,,,,,,,,,,-75,,-75,-75,-75,,-80,-80,,-80,,-80,-80,-80,,-80,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-91,-90,-90,-90,-90,-90,-64,-64,-64,-65,-64,,-65,-64,-64,-64,,-78,-78,-79,,-78,,,,,,
1714720112.4947686,,,-62,,-94,-79,,,,,,,,,,,,,-83,,,,,,,,,,,,,,,,,-78,-78,-78,-73,-73,-77,-76,-76,-76,-84,-84,-76,-83,,-84,-84,-84,,-84,-75,-75,-75,-75,-76,-76,-76,-75,-76,-76,-87,-87,-87,-87,,-87,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,,-79,-79,-79,,-79,,,-89,,,
1714720119.4969246,,,-65,,,-74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,,,,,,-73,-80,-80,-73,-80,,-80,-80,-80,,-80,,,,-76,,,-77,,,,,,,,,,-65,-65,-65,-65,-65,-65,-65,-65,-65,-65,,-76,-76,-76,,-77,,,,,,
1714720126.5003493,,,-62,,,-74,,,,,,,,,,,-83,-83,,,,,,,,,,,,,,,,,,,,-79,-76,-76,-76,-76,-76,-76,-80,-80,-76,-80,,-80,-80,-79,,-79,-75,-76,-75,-74,-75,-75,-75,-75,-75,-75,,,,,,,-64,-64,-64,-64,-63,-63,-63,-63,-63,-63,,-77,-78,-78,,-77,,,,,,
1714720133.5081058,,,-60,,,-75,,,,,,,,-82,,,-83,-83,,,,,,,,,,,,,,-78,,-78,-78,-79,-79,-78,-72,-72,-72,-71,-72,-71,-80,-80,-71,-79,,-80,-80,-80,,-79,-76,-76,-76,-75,-75,-75,-75,-76,-75,-75,,,-87,,,,-60,-60,-58,-59,-60,-60,-59,-60,-60,-60,,-78,-78,-78,,-78,-85,,,,,
1714720140.5128267,,,-60,,,-75,,,,,,,,-82,,,-83,,,,,,,,,,,,,,,-78,,-78,-78,-79,-79,-78,-72,-72,-72,-71,-72,-71,-80,-80,-71,-79,,-80,-80,-80,,-79,-76,-76,-76,-75,-75,-75,-75,-76,-75,-75,,,-87,,,,-60,-60,-58,-59,-60,-60,-59,-60,-60,-60,,-78,-78,-78,,-78,-85,,,,,
1714720147.5150669,,,-62,,,,,,,,,,,-80,-80,-79,-79,-79,-80,-80,-80,-80,,,,,,,,,,,,,,,,,-72,-72,-72,-72,-72,-72,-78,-78,-72,-79,,-79,-79,-79,,-78,-75,-75,-75,-75,-75,-75,,-76,-75,-75,,,,,,,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,,-77,-77,-77,,-77,,,,,-94,
1714720154.5210733,,,-66,,,-85,,,,,,,,-80,-80,-79,-79,-79,-80,-80,-80,-80,,,,,,,,,-82,,,,,,,,-77,-77,-76,-72,-72,-72,-80,-80,-77,-79,,-79,-80,-79,,-80,-75,-75,-74,-74,-75,-74,-74,-74,-74,-74,,,,,,,-64,-64,-64,-64,-64,-64,-65,-64,-65,-64,,-78,-78,-78,,-78,,,,,-94,
1714720161.5246851,-95,,-64,-93,,-76,,,,,,,,-79,-78,-78,,-78,-78,-78,-79,,,,,,,,,,-79,-79,-78,-78,-78,-78,-78,-78,-73,-73,-73,-73,-77,-73,-80,-80,-78,-80,-79,-80,-80,-80,-80,-80,-75,-75,,,,-75,-74,-74,-74,-74,,,,,,,-61,-61,-61,-62,-61,-61,-61,-61,-61,-61,,-79,-78,-78,,-78,-84,,,,,
1714720169.4941924,,-94,-65,,,,,,,,,,,-80,-80,-80,-79,-80,-80,-79,-80,,-80,,,,,,,,-80,-79,-80,-80,-80,-79,,-79,-74,-74,-74,-74,-74,-75,-85,-84,-75,-75,,-84,-85,-84,,-84,-77,-77,-78,-77,-78,-78,-77,-77,,-77,,,,,,,-61,-61,-61,-61,-61,-61,-61,-61,-61,-61,,-75,-75,-75,,-75,-84,,,,,
1714720175.534528,,-94,-66,,,,,,,,,,,-80,-80,-80,-79,-80,-80,-79,-80,,-80,,,,,,,,-80,-79,-80,-80,-80,-79,,-79,-74,-77,-77,-77,-76,-75,-80,-81,-77,-77,,-80,-80,-80,,-80,-75,-75,-76,-75,-75,-75,-76,-76,,-75,,,,,,,-61,-61,-61,-60,-61,-60,-60,-61,-59,-60,-78,-78,-78,-78,-78,-78,-84,,,,,
1714720182.5394905,-98,,-63,,-94,-73,,,,,,,,-82,,,,,,,-81,-81,-81,,,,,,,,,,,,,,-79,-81,-74,-74,-73,-73,-73,-74,-83,-83,-74,-74,,-83,-83,-83,,-84,-78,-77,-77,-77,-77,-78,-77,-77,-77,-77,,-87,-89,,,,-62,-62,-62,-62,-60,-61,-62,-75,-62,-62,-78,-75,-75,-75,-78,-75,,,,,,
1714720189.5388277,,,-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-76,,-75,-75,-75,-75,-75,-75,-75,-75,,-82,-82,-82,,-82,-75,-75,-75,-75,-75,-75,-75,-75,-75,-74,,-89,-89,-90,,,-61,-61,-61,-61,-61,-62,-61,-61,-61,-61,-79,-79,-79,-79,-79,-79,,,,,,
1714720196.5420933,,,-64,,,-75,,,,,,,,,,,-81,,,,,,,,,,,,,,-79,-80,,-79,-78,-79,-79,-79,-73,-73,-73,-73,-75,-73,-73,-73,-73,-73,,-81,-80,-81,,-80,-75,-74,-75,-75,-75,-74,-75,-75,-74,-75,,-89,-89,-88,,,-60,-61,-61,-60,-60,-62,-61,-60,-61,-60,-79,-76,-76,-77,-79,-77,,,,,,
1714720203.5488842,,,-64,,,-75,,,,,-83,,,,,,-81,,,,,,,,,,,,,,-79,-80,-79,-79,-78,-79,-79,-79,-73,-73,-73,-73,,-73,-73,-73,-73,-73,,-81,-80,-81,,-80,-75,-74,-75,-75,-75,-74,-75,-75,-74,-75,,,,-88,,,-60,,-61,-60,-60,,-61,-60,-61,-60,,-76,-76,-77,,-77,,,,,,
1714720210.5514011,-95,,-61,,-94,-83,,,,,,,,,,,,-82,,,,,,,,,,,,,,,,-82,,,,,-75,-75,-72,-75,-72,-72,-72,-72,-72,-72,,-82,-82,-82,,-82,-75,-75,,-76,-76,-75,-75,-74,-75,-75,-88,-88,-88,-88,-89,-88,-57,-57,-58,-58,-57,-57,-58,-58,-58,-57,-78,-76,-76,-76,-78,-76,,,,,,
1714720217.5549514,,,-61,,-93,-79,,,,,,,,,,,,,,,,,,,,,,,-82,,,,,,,,-81,-82,-74,,,-73,-74,-74,-74,-79,-74,-74,,-79,-79,-79,,-79,-75,-75,-75,-74,,,-75,-75,-75,-75,,-90,-89,,,-90,-62,-62,-62,-62,-62,-62,-62,-62,-62,-62,,-77,-77,-77,,-77,,,,,-94,
1714720224.560579,,,-67,,-93,-75,,,,,,,,-85,-85,,,,,-85,,,,-91,,,,,-78,-78,-78,-77,,,,,-81,-82,-71,-73,-73,-73,-74,-74,-73,-82,-74,-73,,-82,-82,-82,,-82,-75,-75,-75,-74,-76,-76,-75,-75,-75,-75,,-90,-89,,,-90,-61,-61,-61,-60,-60,-61,-61,-61,-61,-61,,-76,-76,-76,,-76,,,,,-94,
1714720231.563192,,,-62,,,-75,,,,,,,,-85,-85,,,,,-85,,,,-91,,,,,-78,-78,-81,-77,,,-80,,-80,,-75,-75,-75,-75,-75,-75,-75,-81,-81,-75,-81,-81,-81,-81,-81,-81,-78,-77,-77,-77,-78,-77,-77,-77,-77,-77,,,,,,,-65,-66,-65,-65,-66,-66,-66,-66,-66,-66,,-80,-80,-80,,-80,,,,,,
1714720239.532024,,,-68,,,-73,,,,,,,,,,,,,,,,,,,,,,,,,-79,-79,-78,,-79,-79,,-79,-73,-73,-73,-73,-73,-73,-73,-73,-73,-79,,-80,-80,-80,,-80,,,,,,,,,,,,,,,,,-63,-62,-63,-63,-62,-62,-62,-62,-62,-62,,-76,-76,-76,,-76,,-94,,,,
1714720245.5684156,,,-62,,,-79,,,,,,,,-82,-81,,-83,,,,,,-81,,,,,,,,-79,-79,-78,,-79,-79,,-79,-80,-79,-79,-79,-73,-73,-77,-73,-73,-84,,-84,-84,-84,,-84,-77,,,,-77,,,,,,,,,,,,-67,-67,-68,-68,-68,-68,-68,-67,-68,-68,,-83,-83,-83,,-83,,-94,,,,
1714720252.5737288,,,-66,,,-79,,,,,,,,-82,-81,,-83,,,,,,-81,,-85,,,,,,,-80,,,,-79,,-80,-77,-79,-77,-77,-78,,-77,-81,-78,-81,,-81,-81,-81,,-81,-76,-76,-76,-76,-76,-76,,,-76,-76,,,,,,,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,,-79,-80,-79,,-79,,,,,,
1714720259.576494,,,-65,,,-81,,,,,,,,-82,,,,,,,,,,,,,,,,,,,,,-77,,-77,-77,-75,-75,-76,-75,-75,-75,-74,-81,-75,-81,,-81,-81,-81,,-81,-78,-78,-78,-77,-78,-77,-78,-78,-77,-78,,,,,,,-64,-64,-64,-64,-64,-64,-65,-64,-64,-64,,-83,-83,-83,,-84,,,,,,
1714720266.5838654,,,-67,-90,,-75,,,,,,,,-82,,,,,,,,,,-90,,,,,,,,,,,-78,-79,-78,-79,-75,-75,-76,-75,-75,-75,-74,-85,-75,-85,,-85,-85,-85,,-85,-78,-78,-78,-77,-78,-77,-78,-78,-77,-78,,,,,,,-65,-65,-65,-65,-66,-65,-65,-65,-65,-65,,-81,-80,-81,,-80,,,,,,
1714720273.5870483,,,-67,-90,,-75,,,,,,,,,,,,,,,,,,-90,,,,,,,,,,,-78,-79,-78,-79,,,,,,,-85,-85,,-85,,-85,-85,-85,,-85,,,,,,,,-87,,,,,,,,,-65,-65,-65,-65,-66,-65,-65,-65,-65,-65,,-81,-80,-81,,-80,,,,,,
1714720280.5924942,,-90,-64,,,-74,,,,,,,,,,,,,-81,,,,,,,,,,,,,,-79,,-74,,-80,-80,-76,,-76,-75,-75,-76,-75,-75,-75,-75,-83,-79,-79,-79,-83,-79,-78,-78,,-77,-74,,-74,-77,-77,-77,,,,,,,-63,-63,-63,-63,-64,-64,-64,-83,-64,-64,,-83,-83,-83,,-83,,,,,,
1714720287.5979843,,,-64,,,,,,,,,,,-81,,,-81,,,,-81,-82,-81,,,,,,,,,,,,,,,,-74,-74,-72,-74,-74,-71,,-71,-74,-74,,-88,-88,-88,,,-78,-78,,-78,-78,-78,-78,-78,-78,-78,,,,,,,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,,-78,-79,-78,,-78,-84,-91,,,,
1714720294.6035616,,,-61,,,-85,,,,,,,,-81,,,-81,,,,-81,-82,-81,,,,,,,,,,,,,,,,-77,-74,-72,-77,-77,-77,-77,-71,-74,-77,,-86,-86,-86,,-86,-76,-76,-76,-76,-77,-75,-75,-76,-76,-76,,,,,,,-66,-67,-66,-66,-67,-66,-67,-67,-67,-67,,-85,-85,-84,,-85,-84,-91,,,,
1714720301.6090183,,,-61,,,-85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-77,,,-77,-77,-77,-77,-86,,-77,,-86,-86,-86,,-86,-76,-76,-76,-76,-77,-75,-75,-76,-76,-76,,,,,,,-66,-67,-66,-66,-67,-66,-67,-67,-67,-67,,-85,-85,-84,,-85,,-91,,,,
1714720308.609758,,,-65,,,,,,,,,,,,,-80,,,,,,,,,,,,,-79,,,-79,,-78,-79,,,-79,-76,-77,-76,-76,-76,,-82,-82,,-82,,-82,-82,-82,,-82,-76,-76,-75,-76,-75,-75,-75,,-75,,,,,,,,-70,,-70,-70,-70,-70,-70,-70,-70,-70,,-82,-82,,,-82,,,,,,
1714720315.6174886,,,-65,,,-74,,,,,,,,,,-80,,,,,,,,,,,,,-81,,,-81,,-78,-79,,-80,-81,-72,-77,-76,-72,-72,-72,-80,-80,-72,-80,,-79,-80,-79,,-79,-77,-77,-77,-77,-77,-77,-77,,-75,-76,,,-89,,,,-62,-62,-63,-63,-63,-63,-62,-63,-63,-63,,-78,-79,-79,,-78,,,,,,
1714720322.6191325,,,-66,,,-74,,,,,,,,,,,,,,,,,,,,,,,-81,,,-81,,,-79,-79,-78,-78,-76,-76,-76,-76,-76,-76,-83,-83,-76,-82,,-83,-83,-82,,-83,-75,-75,-75,-76,-75,-75,-75,-75,-75,-75,,,-89,,,,-69,-69,-69,-69,-69,-63,-69,-69,-69,-69,-81,-81,-82,-81,-81,-81,,,,,,
1714720329.6222951,,,-62,,,-73,,,,,,,,,,,,,,,-80,-81,-81,,,,,,,,,,,,,,,,-70,-70,,-71,-70,-70,-70,-70,-70,-70,,-79,-80,-80,,-80,-79,-79,-80,-79,-79,-79,-79,-86,-79,-79,-86,-87,-86,-86,,,-62,-62,-62,-62,-62,,-62,-77,-62,-62,,-77,-77,-77,,-78,,,,,,
1714720336.6283221,,,-62,,,-73,,,,,,,,,,,,,,,-80,-81,-81,,,,,,,,,,,,,,,,-70,-70,,-71,-70,-70,-70,-70,-70,-70,,-79,-80,-80,,-80,-79,-79,-80,-79,-79,-79,-79,-86,-79,-79,-86,-87,-86,-86,,,-62,-62,-62,-62,-62,,-62,-77,-62,-62,,-77,-77,-77,,-78,,,,,,
1714720343.634577,-94,,-68,,,,,,,,,,,,,,,-80,,,,,,,,,,,,,,,,,-80,,,-79,-72,-72,-71,,-76,,-79,-76,,-79,,-79,-79,-79,,-79,-75,-75,-75,,-76,-75,-90,-87,,-85,,-91,-90,-89,-91,-91,-58,-59,-58,-59,-59,-58,-59,-59,-58,-58,-77,-79,-79,-79,-77,-79,,,,,,
1714720350.63863,-95,,-64,,-97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-79,-78,-72,-78,,-78,-78,-83,-83,-78,-83,,-83,-82,-82,,-83,-75,,,-75,-75,-75,-75,-90,,-91,,-89,,-90,,,-64,-64,-64,-64,-64,-64,-64,-64,-64,-64,,-79,-79,-78,,-79,,-91,,,,
1714720357.643899,,,,,,-75,,,,,,,,,,,,,,,,,,,,-84,-84,-84,-78,,,-77,-77,-77,,,,,,-73,,-74,-74,,-78,-78,-73,-79,,-79,-78,-78,,-79,,,-75,,-76,,-86,-86,,-86,,-86,-86,-86,,-86,-59,-59,-59,-60,-59,-60,-60,-59,-59,-60,,-79,-79,-79,,-79,,,,,,
1714720364.6488552,,,-62,,,-81,,,,,,,,,,,,-81,,,,,,,,-84,-84,-84,-78,,,-77,-77,-77,-78,,-79,-79,-77,-77,-77,-77,-76,-77,-81,-80,-77,-81,,-80,-81,-81,,-81,,,-77,-77,-76,,-86,-86,-78,-86,,-86,-86,-86,,-86,-63,-63,-63,-63,-63,-63,-63,-63,-63,-63,,-78,-78,-78,,-78,,,,,,
