,ap_mac,ap_name,rssi,timestamp,room
0,1c:61:b4:26:b1:61,TP-Link_B161,-92,1712667151.0594811,res3
1,80:2a:a8:17:d6:08,ViaRezo MAC auth,-57,1712667151.0594811,res3
2,80:2a:a8:17:d6:18,ViaRezo MAC auth,-90,1712667151.0594811,res3
3,80:2a:a8:18:d6:08,ViaRezo MAC auth,-78,1712667151.0594811,res3
4,80:2a:a8:18:d6:18,ViaRezo MAC auth,-91,1712667151.0594811,res3
5,86:2a:a8:17:d6:08,ViaRezo,-58,1712667151.0594811,res3
6,86:2a:a8:17:d6:18,ViaRezo,-93,1712667151.0594811,res3
7,86:2a:a8:18:d6:08,ViaRezo,-78,1712667151.0594811,res3
8,86:2a:a8:18:d6:18,ViaRezo,-90,1712667151.0594811,res3
9,8a:2a:a8:17:d6:08,,-58,1712667151.0594811,res3
10,8a:2a:a8:18:d6:08,,-76,1712667151.0594811,res3
11,8a:2a:a8:18:d6:18,,-92,1712667151.0594811,res3
12,8e:2a:a8:17:d6:08,FedeRez,-57,1712667151.0594811,res3
13,8e:2a:a8:17:d6:18,FedeRez,-91,1712667151.0594811,res3
14,8e:2a:a8:18:d6:08,FedeRez,-78,1712667151.0594811,res3
15,8e:2a:a8:18:d6:18,FedeRez,-91,1712667151.0594811,res3
16,92:2a:a8:17:d6:08,ViaRezo guest,-58,1712667151.0594811,res3
17,92:2a:a8:17:d6:18,ViaRezo guest,-90,1712667151.0594811,res3
18,92:2a:a8:18:d6:08,ViaRezo guest,-78,1712667151.0594811,res3
19,92:2a:a8:18:d6:18,ViaRezo guest,-91,1712667151.0594811,res3
20,aa:e8:7f:41:78:58,._.,-87,1712667151.0594811,res3
21,b4:fb:e4:41:8f:35,ViaRezo MAC auth,-86,1712667151.0594811,res3
22,b4:fb:e4:42:8f:35,ViaRezo MAC auth,-95,1712667151.0594811,res3
23,ba:fb:e4:41:8f:35,ViaRezo,-85,1712667151.0594811,res3
24,ba:fb:e4:42:8f:35,ViaRezo,-94,1712667151.0594811,res3
25,be:fb:e4:41:8f:35,,-84,1712667151.0594811,res3
26,c2:fb:e4:41:8f:35,FedeRez,-84,1712667151.0594811,res3
27,c2:fb:e4:42:8f:35,FedeRez,-96,1712667151.0594811,res3
28,c6:fb:e4:41:8f:35,ViaRezo guest,-85,1712667151.0594811,res3
29,c6:fb:e4:42:8f:35,ViaRezo guest,-95,1712667151.0594811,res3
30,1c:61:b4:26:b1:61,TP-Link_B161,-92,1712667161.0695868,res3
31,80:2a:a8:17:d6:08,ViaRezo MAC auth,-57,1712667161.0695868,res3
32,80:2a:a8:17:d6:18,ViaRezo MAC auth,-90,1712667161.0695868,res3
33,80:2a:a8:18:d6:08,ViaRezo MAC auth,-78,1712667161.0695868,res3
34,80:2a:a8:18:d6:18,ViaRezo MAC auth,-91,1712667161.0695868,res3
35,86:2a:a8:17:d6:08,ViaRezo,-58,1712667161.0695868,res3
36,86:2a:a8:17:d6:18,ViaRezo,-93,1712667161.0695868,res3
37,86:2a:a8:18:d6:08,ViaRezo,-78,1712667161.0695868,res3
38,86:2a:a8:18:d6:18,ViaRezo,-90,1712667161.0695868,res3
39,8a:2a:a8:17:d6:08,,-58,1712667161.0695868,res3
40,8a:2a:a8:18:d6:08,,-76,1712667161.0695868,res3
41,8a:2a:a8:18:d6:18,,-92,1712667161.0695868,res3
42,8e:2a:a8:17:d6:08,FedeRez,-57,1712667161.0695868,res3
43,8e:2a:a8:17:d6:18,FedeRez,-91,1712667161.0695868,res3
44,8e:2a:a8:18:d6:08,FedeRez,-78,1712667161.0695868,res3
45,8e:2a:a8:18:d6:18,FedeRez,-91,1712667161.0695868,res3
46,92:2a:a8:17:d6:08,ViaRezo guest,-58,1712667161.0695868,res3
47,92:2a:a8:17:d6:18,ViaRezo guest,-90,1712667161.0695868,res3
48,92:2a:a8:18:d6:08,ViaRezo guest,-78,1712667161.0695868,res3
49,92:2a:a8:18:d6:18,ViaRezo guest,-91,1712667161.0695868,res3
50,aa:e8:7f:41:78:58,._.,-87,1712667161.0695868,res3
51,b4:fb:e4:41:8f:35,ViaRezo MAC auth,-86,1712667161.0695868,res3
52,b4:fb:e4:42:8f:35,ViaRezo MAC auth,-95,1712667161.0695868,res3
53,ba:fb:e4:41:8f:35,ViaRezo,-85,1712667161.0695868,res3
54,ba:fb:e4:42:8f:35,ViaRezo,-94,1712667161.0695868,res3
55,be:fb:e4:41:8f:35,,-84,1712667161.0695868,res3
56,c2:fb:e4:41:8f:35,FedeRez,-84,1712667161.0695868,res3
57,c2:fb:e4:42:8f:35,FedeRez,-96,1712667161.0695868,res3
58,c6:fb:e4:41:8f:35,ViaRezo guest,-85,1712667161.0695868,res3
59,c6:fb:e4:42:8f:35,ViaRezo guest,-95,1712667161.0695868,res3
60,1c:61:b4:26:b1:61,TP-Link_B161,-92,1712667171.078659,res3
61,80:2a:a8:17:d6:08,ViaRezo MAC auth,-57,1712667171.078659,res3
62,80:2a:a8:17:d6:18,ViaRezo MAC auth,-90,1712667171.078659,res3
63,80:2a:a8:18:d6:08,ViaRezo MAC auth,-78,1712667171.078659,res3
64,80:2a:a8:18:d6:18,ViaRezo MAC auth,-91,1712667171.078659,res3
