,ap_mac,ap_name,rssi,timestamp,room,door_status,room_part
0,70:d3:79:2e:8c:83:,CD91,-76,1709567303.1057262,LC414,1,1
1,70:d3:79:2e:8c:84:,Guest-CentraleSupelec,-75,1709567303.1057262,LC414,1,1
2,70:d3:79:2e:8c:86:,fabrique2024,-76,1709567303.1057262,LC414,1,1
3,70:d3:79:2e:8c:87:,stop&go,-85,1709567303.1057262,LC414,1,1
4,70:d3:79:2e:8c:88:,stop&go,-84,1709567303.1057262,LC414,1,1
5,70:d3:79:2e:8c:89:,fabrique2024,-86,1709567303.1057262,LC414,1,1
6,70:d3:79:2e:8c:8b:,Guest-CentraleSupelec,-85,1709567303.1057262,LC414,1,1
7,70:d3:79:2e:8c:8c:,CD91,-85,1709567303.1057262,LC414,1,1
8,70:d3:79:2e:8c:8f:,eduroam,-85,1709567303.1057262,LC414,1,1
9,70:d3:79:2e:ba:03:,CD91,-79,1709567303.1057262,LC414,1,1
10,70:d3:79:2e:ba:04:,Guest-CentraleSupelec,-79,1709567303.1057262,LC414,1,1
11,70:d3:79:2e:ba:08:,stop&go,-80,1709567303.1057262,LC414,1,1
12,94:d4:69:f6:c5:60:,eduroam,-76,1709567303.1057262,LC414,1,1
13,94:d4:69:f6:c5:63:,CD91,-73,1709567303.1057262,LC414,1,1
14,94:d4:69:f6:c5:64:,Guest-CentraleSupelec,-76,1709567303.1057262,LC414,1,1
15,94:d4:69:f6:c5:66:,fabrique2024,-73,1709567303.1057262,LC414,1,1
16,94:d4:69:f6:c5:67:,stop&go,-86,1709567303.1057262,LC414,1,1
17,94:d4:69:f6:c5:68:,stop&go,-73,1709567303.1057262,LC414,1,1
18,94:d4:69:f6:c5:69:,fabrique2024,-86,1709567303.1057262,LC414,1,1
19,94:d4:69:f6:c5:6b:,Guest-CentraleSupelec,-86,1709567303.1057262,LC414,1,1
20,94:d4:69:f6:c5:6c:,CD91,-85,1709567303.1057262,LC414,1,1
21,94:d4:69:f6:c5:6f:,eduroam,-85,1709567303.1057262,LC414,1,1
22,94:d4:69:f6:e4:e0:,eduroam,-75,1709567303.1057262,LC414,1,1
23,94:d4:69:f6:e4:e3:,CD91,-74,1709567303.1057262,LC414,1,1
24,94:d4:69:f6:e4:e4:,Guest-CentraleSupelec,-74,1709567303.1057262,LC414,1,1
25,94:d4:69:f6:e4:e6:,fabrique2024,-72,1709567303.1057262,LC414,1,1
26,94:d4:69:f6:e4:e7:,stop&go,-84,1709567303.1057262,LC414,1,1
27,94:d4:69:f6:e4:e8:,stop&go,-76,1709567303.1057262,LC414,1,1
28,94:d4:69:f6:e4:e9:,fabrique2024,-84,1709567303.1057262,LC414,1,1
29,94:d4:69:f6:e4:eb:,Guest-CentraleSupelec,-84,1709567303.1057262,LC414,1,1
30,94:d4:69:f6:e4:ec:,CD91,-84,1709567303.1057262,LC414,1,1
31,94:d4:69:f6:e4:ef:,eduroam,-85,1709567303.1057262,LC414,1,1
32,94:d4:69:f9:7d:60:,eduroam,-59,1709567303.1057262,LC414,1,1
33,94:d4:69:f9:7d:63:,CD91,-58,1709567303.1057262,LC414,1,1
34,94:d4:69:f9:7d:64:,Guest-CentraleSupelec,-59,1709567303.1057262,LC414,1,1
35,94:d4:69:f9:7d:66:,fabrique2024,-61,1709567303.1057262,LC414,1,1
36,94:d4:69:f9:7d:67:,stop&go,-67,1709567303.1057262,LC414,1,1
37,94:d4:69:f9:7d:68:,stop&go,-59,1709567303.1057262,LC414,1,1
38,94:d4:69:f9:7d:69:,fabrique2024,-67,1709567303.1057262,LC414,1,1
39,94:d4:69:f9:7d:6b:,Guest-CentraleSupelec,-67,1709567303.1057262,LC414,1,1
40,94:d4:69:f9:7d:6c:,CD91,-67,1709567303.1057262,LC414,1,1
41,94:d4:69:f9:7d:6f:,eduroam,-66,1709567303.1057262,LC414,1,1
42,94:d4:69:fa:94:40:,eduroam,-72,1709567303.1057262,LC414,1,1
43,94:d4:69:fa:94:43:,CD91,-69,1709567303.1057262,LC414,1,1
44,94:d4:69:fa:94:44:,Guest-CentraleSupelec,-69,1709567303.1057262,LC414,1,1
45,94:d4:69:fa:94:46:,fabrique2024,-69,1709567303.1057262,LC414,1,1
46,94:d4:69:fa:94:48:,stop&go,-80,1709567303.1057262,LC414,1,1
47,94:d4:69:fa:94:49:,fabrique2024,-80,1709567303.1057262,LC414,1,1
48,94:d4:69:fa:94:4b:,Guest-CentraleSupelec,-80,1709567303.1057262,LC414,1,1
49,94:d4:69:fa:94:4c:,CD91,-80,1709567303.1057262,LC414,1,1
50,94:d4:69:fa:94:4f:,eduroam,-79,1709567303.1057262,LC414,1,1
51,94:d4:69:fa:9a:00:,eduroam,-66,1709567303.1057262,LC414,1,1
52,94:d4:69:fa:9a:03:,CD91,-70,1709567303.1057262,LC414,1,1
53,94:d4:69:fa:9a:04:,Guest-CentraleSupelec,-66,1709567303.1057262,LC414,1,1
54,94:d4:69:fa:9a:06:,fabrique2024,-66,1709567303.1057262,LC414,1,1
55,94:d4:69:fa:9a:07:,stop&go,-78,1709567303.1057262,LC414,1,1
56,94:d4:69:fa:9a:09:,fabrique2024,-77,1709567303.1057262,LC414,1,1
57,94:d4:69:fa:9a:0b:,Guest-CentraleSupelec,-78,1709567303.1057262,LC414,1,1
58,94:d4:69:fa:9a:0c:,CD91,-77,1709567303.1057262,LC414,1,1
59,94:d4:69:fa:9a:0f:,eduroam,-78,1709567303.1057262,LC414,1,1
60,94:d4:69:fd:b1:00:,eduroam,-72,1709567303.1057262,LC414,1,1
61,94:d4:69:fd:b1:03:,CD91,-72,1709567303.1057262,LC414,1,1
62,94:d4:69:fd:b1:04:,Guest-CentraleSupelec,-72,1709567303.1057262,LC414,1,1
63,94:d4:69:fd:b1:06:,fabrique2024,-78,1709567303.1057262,LC414,1,1
64,94:d4:69:fd:b1:07:,stop&go,-74,1709567303.1057262,LC414,1,1
65,94:d4:69:fd:b1:08:,stop&go,-77,1709567303.1057262,LC414,1,1
66,94:d4:69:fd:b1:09:,fabrique2024,-74,1709567303.1057262,LC414,1,1
67,94:d4:69:fd:b1:0b:,Guest-CentraleSupelec,-75,1709567303.1057262,LC414,1,1
68,94:d4:69:fd:b1:0c:,CD91,-75,1709567303.1057262,LC414,1,1
69,94:d4:69:fd:b1:0f:,eduroam,-76,1709567303.1057262,LC414,1,1
70,94:d4:69:fd:b1:e0:,eduroam,-68,1709567303.1057262,LC414,1,1
71,94:d4:69:fd:b1:e3:,CD91,-69,1709567303.1057262,LC414,1,1
72,94:d4:69:fd:b1:e4:,Guest-CentraleSupelec,-69,1709567303.1057262,LC414,1,1
73,94:d4:69:fd:b1:e6:,fabrique2024,-67,1709567303.1057262,LC414,1,1
74,94:d4:69:fd:b1:e9:,fabrique2024,-67,1709567303.1057262,LC414,1,1
75,94:d4:69:fd:b1:eb:,Guest-CentraleSupelec,-67,1709567303.1057262,LC414,1,1
76,94:d4:69:fd:b1:ec:,CD91,-67,1709567303.1057262,LC414,1,1
77,94:d4:69:fd:b1:ef:,eduroam,-63,1709567303.1057262,LC414,1,1
